week,Player,Salary,Roster Position,%Drafted,FPTS
10,Rico Dowdle,6300,RB,49.30%,15.3
10,De'Von Achane,7400,RB,30.67%,43.5
10,Jaxon Smith-Njigba,8600,WR,26.50%,20.3
10,Zay Flowers,5900,WR,25.00%,12.1
10,Puka Nacua,8700,WR,24.15%,17.4
10,Christian McCaffrey,9000,RB,23.09%,17.6
10,Jauan Jennings,4600,WR,22.66%,18.1
10,Amon-Ra St. Brown,8400,WR,19.19%,16.8
10,James Cook III,7500,RB,18.83%,11.7
10,Browns,2900,DST,17.44%,5.0
10,Trey McBride,6000,TE,16.73%,30.7
10,Jaguars,2600,DST,16.10%,11.0
10,Quinshon Judkins,6500,FLEX,16.00%,10.5
10,Emeka Egbuka,7000,WR,15.91%,26.5
10,Hunter Henry,3500,TE,15.16%,1.9
10,George Kittle,4500,TE,14.96%,23.4
10,Mark Andrews,3400,FLEX,14.90%,10.4
10,Deebo Samuel Sr.,5600,FLEX,14.37%,12.9
10,TreVeyon Henderson,5600,RB,14.28%,31.0
10,Tez Johnson,4500,WR,14.07%,20.2
10,Sam LaPorta,4400,FLEX,13.43%,10.3
10,Cade Otton,3900,TE,12.76%,17.2
10,Marvin Harrison Jr.,5300,WR,12.09%,14.3
10,Josh Allen,7000,QB,12.05%,24.34
10,Wan'Dale Robinson,5300,WR,11.89%,12.2
10,Dalton Kincaid,4300,TE,11.56%,5.7
10,Khalil Shakir,5100,WR,11.37%,12.8
10,Lamar Jackson,6800,QB,11.30%,16.64
10,Jameson Williams,4900,WR,10.84%,26.9
10,Jahmyr Gibbs,8000,FLEX,10.68%,41.2
10,Kyren Williams,6600,FLEX,10.47%,22.4
10,Buccaneers,2700,DST,10.26%,2.0
10,Stefon Diggs,5800,WR,10.17%,15.6
10,Jared Goff,5900,QB,9.29%,27.8
10,Derrick Henry,6800,RB,9.01%,11.4
10,Justin Jefferson,7900,WR,8.81%,7.7
10,Parker Washington,4700,WR,8.17%,17.9
10,Jaylen Waddle,6400,WR,8.01%,19.4
10,Drake Maye,6400,QB,8.01%,19.1
10,J.J. McCarthy,4900,QB,7.83%,16.72
10,David Montgomery,5000,FLEX,7.77%,10.1
