Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,4960214211,HurricaneCal (11/20),0,219.36,DST Rams  FLEX Jahmyr Gibbs QB Jalen Hurts RB Bijan Robinson RB Chase Brown TE Hunter Henry WR DeVonta Smith WR Michael Wilson WR Isaiah Hodgins,,Jakobi Meyers,WR,9.89%,15
24,4960749149,Wingman91 (15/20),0,218.48,DST Packers  FLEX Colby Parkinson QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Davante Adams WR Zay Flowers WR Michael Wilson,,Drake Maye,QB,9.82%,16.96
25,4960501493,ifthethunder (1/3),0,218.16,DST Saints  FLEX Jahmyr Gibbs QB Jalen Hurts RB Chase Brown RB Emanuel Wilson TE Hunter Henry WR A.J. Brown WR Jameson Williams WR DeVonta Smith,,Matthew Stafford,QB,9.50%,22.92
26,4960562547,Satch65 (20/20),0,218.02,DST Raiders  FLEX Hunter Henry QB Matthew Stafford RB Jahmyr Gibbs RB Emanuel Wilson TE Mason Taylor WR Amon-Ra St. Brown WR Zay Flowers WR Michael Wilson,,Jaxon Smith-Njigba,WR,9.49%,40.1
27,4960449411,Spocker14 (11/20),0,217.62001,DST Saints  FLEX George Kittle QB Brock Purdy RB Jahmyr Gibbs RB Emanuel Wilson TE Mason Taylor WR Jaxon Smith-Njigba WR A.J. Brown WR Chimere Dike,,Puka Nacua,WR,8.95%,16.7
28,4960749148,Wingman91 (14/20),0,217.56,DST Browns  FLEX Kyle Pitts Sr. QB Sam Darnold RB Jahmyr Gibbs RB Emanuel Wilson TE Brock Wright WR Jaxon Smith-Njigba WR Zay Flowers WR Wan'Dale Robinson,,Davante Adams,WR,8.60%,23.2
29,4958403437,JaradWard (1/3),0,216.82,DST Texans  FLEX Travis Kelce QB Matthew Stafford RB Jahmyr Gibbs RB Emanuel Wilson TE George Kittle WR Chris Olave WR A.J. Brown WR Michael Wilson,,Stefon Diggs,FLEX,8.49%,4
30,4960200764,xanguiano (8/15),0,215.48,DST Saints  FLEX Amon-Ra St. Brown QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Darnell Mooney WR Michael Wilson WR Jerry Jeudy,,Jared Goff,QB,8.29%,18.16
31,4960747399,CoffeeInBed (1/20),0,215.18,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Trey McBride WR DeVonta Smith WR Michael Wilson WR Jakobi Meyers,,James Cook III,RB,8.14%,24.9
32,4959363904,Deathflower74 (2/20),0,214.86,DST Browns  FLEX Emanuel Wilson QB Jared Goff RB Jahmyr Gibbs RB Chase Brown TE Mark Andrews WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,A.J. Brown,WR,7.97%,28
33,4960241543,dustersq (1/10),0,214.46,DST Saints  FLEX Jahmyr Gibbs QB Jalen Hurts RB TreVeyon Henderson RB Woody Marks TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR Michael Wilson,,Brock Purdy,QB,7.72%,10.32
33,4960241621,dustersq (2/10),0,214.46,DST Saints  FLEX Jahmyr Gibbs QB Jalen Hurts RB TreVeyon Henderson RB Woody Marks TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR Michael Wilson,,Bijan Robinson,RB,7.42%,14.7
35,4960072454,ftknox (6/12),0,214.06001,DST Browns  FLEX Jahmyr Gibbs QB Jalen Hurts RB Travis Etienne Jr. RB Woody Marks TE Hunter Henry WR A.J. Brown WR Jameson Williams WR Michael Wilson,,David Montgomery,RB,7.30%,6.7
35,4960798308,rvnsane (1/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Chris Olave,FLEX,7.22%,16
35,4960798309,rvnsane (2/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Nico Collins,WR,7.17%,8.5
35,4960798310,rvnsane (3/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Kenneth Walker III,FLEX,7.15%,13.1
35,4960798311,rvnsane (4/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Dallas Goedert,TE,7.05%,4
35,4960798312,rvnsane (5/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Travis Etienne Jr.,FLEX,6.95%,20.6
35,4960798313,rvnsane (6/20),0,214.06001,DST Browns  FLEX Tez Johnson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Andrei Iosivas,,Jauan Jennings,WR,6.86%,15.1
