,Player,Position,Team,Opponent,Salary,% ownership
0,Josh Jacobs,RB,GB,CHI,"$6,800",27.1%
1,Ja'Marr Chase,WR,CIN,@BUF,"$8,200",24.6%
2,Puka Nacua,WR,LAR,@ARI,"$8,700",22.6%
3,James Cook III,RB,BUF,CIN,"$7,800",20.6%
4,De'Von Achane,RB,MIA,@NYJ,"$8,800",19.6%
5,Aaron Jones Sr.,RB,MIN,WAS,"$5,300",16.0%
6,Emeka Egbuka,WR,TB,NO,"$6,300",15.7%
7,Ashton Jeanty,RB,LV,DEN,"$6,100",15.6%
8,Jaxon Smith-Njigba,WR,SEA,@ATL,"$9,000",15.4%
9,Breece Hall,RB,NYJ,MIA,"$6,500",15.1%
10,Kenneth Walker III,RB,SEA,@ATL,"$5,600",15.0%
11,Adonai Mitchell,WR,NYJ,MIA,"$4,600",14.4%
12,Josh Allen,QB,BUF,CIN,"$7,700",14.0%
13,Christian Watson,WR,GB,CHI,"$5,200",13.7%
14,Michael Wilson,WR,ARI,LAR,"$5,600",13.5%
15,RJ Harvey,RB,DEN,@LV,"$5,700",13.4%
16,Chris Olave,WR,NO,@TB,"$6,500",13.3%
17,Tyler Warren,TE,IND,@JAX,"$5,000",13.0%
18,Quinshon Judkins,RB,CLE,TEN,"$6,400",12.9%
19,Jaylen Waddle,WR,MIA,@NYJ,"$6,800",12.4%
20,Bucky Irving,RB,TB,NO,"$7,000",12.3%
21,Jonathan Taylor,RB,IND,@JAX,"$9,300",12.3%
23,Zay Flowers,WR,BAL,PIT,"$6,100",11.6%
24,Kyle Pitts Sr.,TE,ATL,SEA,"$4,200",11.2%
26,Justin Jefferson,WR,MIN,WAS,"$6,900",10.3%
27,Bijan Robinson,RB,ATL,SEA,"$8,500",10.3%
29,Terry McLaurin,WR,WAS,@MIN,"$5,200",9.9%
30,Alec Pierce,WR,IND,@JAX,"$5,100",9.8%
31,Brock Bowers,TE,LV,DEN,"$6,000",9.8%
32,AJ Barner,TE,SEA,@ATL,"$3,200",9.6%
33,Jakobi Meyers,WR,JAX,IND,"$5,700",9.3%
34,Michael Pittman Jr.,WR,IND,@JAX,"$5,400",8.4%
35,Brenton Strange,TE,JAX,IND,"$3,900",8.3%
36,Harold Fannin Jr.,TE,CLE,TEN,"$3,700",8.1%
37,Derrick Henry,RB,BAL,PIT,"$7,500",8.1%
38,Cade Otton,TE,TB,NO,"$3,600",7.9%
39,Khalil Shakir,WR,BUF,CIN,"$5,300",7.8%
40,Kyren Williams,RB,LAR,@ARI,"$6,600",7.7%
41,Marcus Mariota,QB,WAS,@MIN,"$5,000",7.6%
42,Juwan Johnson,TE,NO,@TB,"$4,000",7.5%
44,Trevor Lawrence,QB,JAX,IND,"$5,400",7.2%
45,Chase Brown,RB,CIN,@BUF,"$6,700",7.1%
46,Baker Mayfield,QB,TB,NO,"$5,800",6.6%
47,DK Metcalf,WR,PIT,@BAL,"$5,400",6.3%
48,Mark Andrews,TE,BAL,PIT,"$4,100",6.2%
49,Trey McBride,TE,ARI,LAR,"$8,000",6.2%
51,Davante Adams,WR,LAR,@ARI,"$7,700",5.9%
52,Matthew Stafford,QB,LAR,@ARI,"$6,900",5.9%
53,Jacoby Brissett,QB,ARI,LAR,"$5,700",5.9%
