week,Player,Salary,Roster Position,%Drafted,FPTS
9,Kyle Monangai,4600,RB,55.43%,25.8
9,Christian McCaffrey,8800,RB,38.19%,37.3
9,Ja'Marr Chase,8400,WR,31.70%,20.1
9,Rashee Rice,7600,WR,22.55%,18.6
9,Puka Nacua,8500,WR,20.64%,22.8
9,Kimani Vidal,6300,RB,20.16%,3.0
9,TreVeyon Henderson,4900,FLEX,19.53%,12.7
9,Tyrone Tracy Jr.,5100,RB,18.91%,6.7
9,DK Metcalf,5500,WR,17.36%,2.6
9,Wan'Dale Robinson,5100,WR,16.42%,13.6
9,Tyler Warren,5500,FLEX,15.93%,7.6
9,Rams,3900,DST,15.81%,9.0
9,Jauan Jennings,4300,WR,15.50%,14.1
9,Jaylen Warren,5500,RB,14.99%,16.9
9,Jahmyr Gibbs,8000,FLEX,14.04%,5.8
9,Brian Thomas Jr.,6200,WR,13.77%,8.5
9,Michael Pittman Jr.,5900,WR,13.72%,23.5
9,Jaxson Dart,5200,QB,13.69%,27.24
9,Parker Washington,3700,WR,13.49%,17.0
9,Travis Kelce,4600,TE,13.06%,12.6
9,Brock Bowers,5000,TE,12.93%,46.3
9,Patrick Mahomes,7100,QB,12.13%,11.5
9,Ladd McConkey,6000,WR,12.06%,9.6
9,Kyren Williams,6800,FLEX,11.87%,20.4
9,Theo Johnson,3500,TE,11.75%,11.7
9,Amon-Ra St. Brown,8300,WR,11.74%,18.7
9,George Kittle,4800,TE,11.35%,6.9
9,Texans,2900,DST,11.24%,8.0
9,Caleb Williams,5700,QB,11.07%,38.7
9,Daniel Jones,6200,QB,10.71%,22.08
9,Rome Odunze,6600,WR,10.19%,0.0
9,Tucker Kraft,5700,TE,10.16%,4.0
9,Kareem Hunt,4700,FLEX,9.86%,12.5
9,Olamide Zaccheaus,3300,WR,9.38%,17.8
9,Chargers,3800,DST,9.27%,5.0
9,Jonathan Taylor,9800,RB,7.99%,7.7
9,Falcons,2500,DST,7.85%,10.0
9,Broncos,3200,DST,7.43%,5.0
9,Dyami Brown,3800,WR,7.14%,5.9
9,DJ Moore,5200,WR,7.04%,22.98
9,Khalil Shakir,5300,WR,6.87%,11.3
9,Sam LaPorta,4300,FLEX,6.64%,21.7
9,Giants,2400,DST,6.51%,3.0
9,Mac Jones,5000,QB,6.47%,16.8
9,Kyle Pitts Sr.,4200,TE,6.38%,7.8
9,Chase Brown,5900,FLEX,6.05%,19.2
9,Lions,3700,DST,5.95%,7.0
9,Raiders,2500,DST,5.81%,2.0
9,Packers,4000,DST,5.67%,4.0
9,Josh Allen,7300,QB,5.60%,28.82
9,Joe Flacco,5600,QB,5.53%,36.7
9,Tee Higgins,5900,WR,5.41%,36.1
9,Chimere Dike,3900,WR,5.35%,7.5
9,Matthew Stafford,6300,QB,5.35%,26.84
9,Travis Etienne Jr.,5600,FLEX,5.31%,16.5
9,Jameson Williams,4800,WR,5.22%,16.6
9,Stefon Diggs,5700,WR,5.14%,12.8
9,Oronde Gadsden II,5300,FLEX,5.05%,11.8
9,Hunter Henry,3700,TE,5.02%,9.1
9,James Cook III,7200,FLEX,4.84%,16.5
9,Keenan Allen,5600,WR,4.70%,6.1
9,Davante Adams,7500,WR,4.62%,23.0
9,Xavier Worthy,5600,WR,4.58%,6.0
9,Darius Slayton,4100,WR,4.54%,11.2
9,Drake Maye,6500,QB,4.38%,18.36
9,Jared Goff,6000,QB,4.31%,19.36
9,Justin Jefferson,7800,WR,4.28%,16.7
9,Alec Pierce,4600,WR,4.28%,20.5
9,Dalton Kincaid,4000,FLEX,4.25%,25.1
9,Josh Jacobs,7700,RB,4.21%,20.0
9,Juwan Johnson,3200,TE,4.14%,12.1
9,Romeo Doubs,5200,WR,4.14%,16.1
9,Trevor Lawrence,5400,QB,4.13%,22.2
9,Jaguars,3300,DST,4.13%,3.0
9,Bijan Robinson,8700,RB,4.07%,17.6
9,Drake London,6400,FLEX,4.05%,41.8
9,Justin Herbert,6800,QB,3.97%,28.7
9,Tre Tucker,4800,WR,3.82%,6.8
9,David Montgomery,5000,RB,3.54%,12.0
9,Josh Downs,4400,WR,3.45%,16.7
9,Patriots,3600,DST,3.41%,1.0
9,Jordan Love,6100,QB,3.16%,10.02
9,Keon Coleman,4500,FLEX,3.15%,3.7
9,Jordan Addison,5800,WR,3.05%,8.4
9,Geno Smith,4600,QB,2.82%,27.26
9,Nico Collins,7100,WR,2.77%,14.5
9,Ashton Jeanty,6700,RB,2.72%,19.9
9,T.J. Hockenson,3400,TE,2.71%,9.1
9,Kayshon Boutte,5000,WR,2.52%,0.0
9,Bills,2800,DST,2.45%,5.0
9,Vikings,2200,DST,2.45%,9.0
9,Jakobi Meyers,5300,WR,2.41%,6.3
9,Chris Olave,6100,WR,2.25%,8.7
9,Christian Watson,4400,WR,2.25%,7.8
9,Bears,3100,DST,2.20%,5.0
9,Troy Franklin,4900,WR,2.05%,8.3
9,Tetairoa McMillan,5800,WR,2.01%,8.6
9,Titans,2300,DST,1.97%,20.0
9,Colston Loveland,3300,FLEX,1.92%,32.8
9,Aaron Rodgers,5800,QB,1.91%,12.12
9,Elic Ayomanor,3800,WR,1.88%,7.6
9,Panthers,2000,DST,1.86%,9.0
9,Jonnu Smith,3400,TE,1.76%,5.5
9,Quentin Johnston,5400,WR,1.76%,15.3
9,Calvin Austin III,4000,WR,1.75%,10.6
9,J.J. McCarthy,4900,QB,1.72%,19.92
9,Kendrick Bourne,5000,WR,1.69%,5.4
9,Saints,2100,DST,1.48%,1.0
9,49ers,3400,DST,1.12%,2.0
9,Noah Fant,3300,TE,1.12%,10.8
9,Courtland Sutton,6500,WR,1.08%,10.0
9,Steelers,2700,DST,1.07%,18.0
9,Brashard Smith,4200,RB,1.07%,0.7
9,Bengals,2600,DST,1.04%,6.0
9,Pat Freiermuth,3100,TE,1.01%,11.7
9,Rico Dowdle,5800,RB,0.96%,31.1
9,C.J. Stroud,5100,QB,0.95%,4.36
9,Darnell Mooney,4200,WR,0.90%,2.5
9,Matthew Golden,4700,WR,0.87%,2.9
9,J.K. Dobbins,6000,RB,0.74%,6.9
9,Evan Engram,3900,TE,0.68%,0.0
9,Colts,3500,DST,0.67%,5.0
9,Michael Penix Jr.,4800,QB,0.65%,22.74
9,Dalton Schultz,3600,TE,0.65%,13.7
9,Bo Nix,6400,QB,0.60%,19.52
9,Chiefs,3000,DST,0.55%,2.0
9,Hollywood Brown,4300,WR,0.54%,9.3
9,Tyler Higbee,3000,TE,0.53%,10.3
9,Van Jefferson,3200,FLEX,0.47%,3.1
9,Hunter Long,2800,TE,0.46%,1.6
9,Rashid Shaheed,5100,WR,0.44%,11.8
9,Woody Marks,5400,RB,0.43%,2.7
9,Mack Hollins,3600,WR,0.38%,2.9
9,Roman Wilson,3300,WR,0.37%,0.4
9,Jalen Coker,3600,WR,0.36%,1.9
9,JuJu Smith-Schuster,3400,WR,0.32%,1.2
9,Tyler Shough,4400,QB,0.32%,10.24
9,RJ Harvey,5000,RB,0.32%,16.6
9,Alvin Kamara,5500,RB,0.30%,1.7
9,Tony Pollard,5300,RB,0.30%,7.8
