,Player,Position,Team,Opponent,Salary,% ownership
0,Jaylen Warren,RB,PIT,CIN,"$6,100",30.8%
1,Trey McBride,TE,ARI,SF,"$6,300",27.9%
2,Ja'Marr Chase,WR,CIN,@PIT,"$8,500",27.8%
3,Chase Brown,RB,CIN,@PIT,"$5,700",27.4%
4,Christian McCaffrey,RB,SF,@ARI,"$9,000",25.3%
5,Rico Dowdle,RB,CAR,@ATL,"$6,800",17.8%
6,Josh Jacobs,RB,GB,@NYG,"$7,800",17.0%
7,Bijan Robinson,RB,ATL,CAR,"$8,300",16.9%
8,Jaxon Smith-Njigba,WR,SEA,LAR,"$8,900",16.2%
9,Puka Nacua,WR,LAR,SEA,"$8,700",15.7%
10,Aaron Jones Sr.,RB,MIN,CHI,"$5,500",14.5%
11,Drake London,WR,ATL,CAR,"$7,400",14.4%
12,Rashee Rice,WR,KC,@DEN,"$7,900",14.0%
13,Oronde Gadsden II,TE,LAC,@JAX,"$4,600",13.7%
14,Michael Wilson,WR,ARI,SF,"$3,800",13.4%
15,RJ Harvey,RB,DEN,KC,"$5,400",13.0%
17,J.J. McCarthy,QB,MIN,CHI,"$5,200",12.2%
18,Wan'Dale Robinson,WR,NYG,GB,"$5,500",12.1%
19,George Kittle,TE,SF,@ARI,"$5,000",11.8%
20,Justin Jefferson,WR,MIN,CHI,"$7,500",11.6%
21,Nico Collins,WR,HOU,@TEN,"$6,700",11.1%
22,Travis Etienne Jr.,RB,JAX,LAC,"$5,600",11.0%
23,Jacoby Brissett,QB,ARI,SF,"$4,900",11.0%
25,Khalil Shakir,WR,BUF,TB,"$5,300",10.8%
26,Kyle Pitts Sr.,TE,ATL,CAR,"$4,000",10.7%
27,Romeo Doubs,WR,GB,@NYG,"$5,000",10.6%
28,Emeka Egbuka,WR,TB,@BUF,"$7,200",9.6%
29,Kimani Vidal,RB,LAC,@JAX,"$5,900",9.6%
30,Jauan Jennings,WR,SF,@ARI,"$5,100",9.6%
