,Player,Position,Team,Opponent,Salary,% ownership
0,Chase Brown,RB,CIN,NE,"$6,200",33.0%
1,Amon-Ra St. Brown,WR,DET,NYG,"$8,000",27.5%
2,Trey McBride,TE,ARI,JAX,"$6,800",27.2%
3,Jahmyr Gibbs,RB,DET,NYG,"$8,300",22.3%
4,Emanuel Wilson,RB,GB,MIN,"$5,300",21.7%
5,Jaxon Smith-Njigba,WR,SEA,@TEN,"$9,000",18.0%
6,Michael Wilson,WR,ARI,JAX,"$4,800",17.6%
7,DeVonta Smith,WR,PHI,@DAL,"$5,600",16.1%
8,Bijan Robinson,RB,ATL,@NO,"$8,500",15.9%
9,Wan'Dale Robinson,WR,NYG,@DET,"$5,500",15.2%
10,Jameson Williams,WR,DET,NYG,"$5,700",14.9%
11,Rashee Rice,WR,KC,IND,"$7,700",14.8%
12,A.J. Brown,WR,PHI,@DAL,"$5,900",13.3%
13,Tee Higgins,WR,CIN,NE,"$7,100",13.2%
15,Ashton Jeanty,RB,LV,CLE,"$6,300",12.9%
16,Saquon Barkley,RB,PHI,@DAL,"$7,500",12.9%
17,Stefon Diggs,WR,NE,@CIN,"$6,500",12.6%
19,Patrick Mahomes,QB,KC,IND,"$6,800",12.1%
20,Romeo Doubs,WR,GB,MIN,"$4,900",11.4%
21,Brock Bowers,TE,LV,CLE,"$6,000",11.3%
23,Kyle Pitts Sr.,TE,ATL,@NO,"$4,300",11.1%
24,Zay Flowers,WR,BAL,NYJ,"$6,300",10.7%
25,Alvin Kamara,RB,NO,ATL,"$5,500",10.6%
26,Mark Andrews,TE,BAL,NYJ,"$3,800",10.4%
27,Jacoby Brissett,QB,ARI,JAX,"$5,300",10.4%
28,Hunter Henry,TE,NE,@CIN,"$3,900",10.1%
29,Travis Kelce,TE,KC,IND,"$5,000",10.1%
31,Alec Pierce,WR,IND,@KC,"$5,000",9.8%
32,Derrick Henry,RB,BAL,NYJ,"$7,600",9.7%
33,CeeDee Lamb,WR,DAL,PHI,"$7,900",9.7%
34,D'Andre Swift,RB,CHI,PIT,"$5,600",9.4%
35,George Pickens,WR,DAL,PHI,"$6,900",9.3%
36,Drake Maye,QB,NE,@CIN,"$6,900",9.2%
37,Jakobi Meyers,WR,JAX,@ARI,"$4,700",9.1%
38,Chris Olave,WR,NO,ATL,"$6,400",8.7%
39,Kareem Hunt,RB,KC,IND,"$5,100",8.7%
40,Jalen Hurts,QB,PHI,@DAL,"$6,600",8.5%
41,Lamar Jackson,QB,BAL,NYJ,"$6,700",8.2%
42,DK Metcalf,WR,PIT,@CHI,"$5,300",7.5%
43,Jared Goff,QB,DET,NYG,"$6,000",7.4%
44,Dallas Goedert,TE,PHI,@DAL,"$4,200",7.3%
45,Travis Etienne Jr.,RB,JAX,@ARI,"$5,900",7.2%
47,Kenneth Walker III,RB,SEA,@TEN,"$5,400",7.1%
