Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40150824),Christian McCaffrey,40150824,RB/FLEX,8500,JAX@SF 09/28/2025 04:05PM ET,SF,23.3
RB,Bijan Robinson (40150826),Bijan Robinson,40150826,RB/FLEX,8200,WAS@ATL 09/28/2025 01:00PM ET,ATL,22.1
WR,Ja'Marr Chase (40151188),Ja'Marr Chase,40151188,WR/FLEX,8000,CIN@DEN 09/29/2025 08:15PM ET,CIN,18
WR,Puka Nacua (40151190),Puka Nacua,40151190,WR/FLEX,7900,IND@LAR 09/28/2025 04:05PM ET,LAR,26.5
WR,CeeDee Lamb (40151192),CeeDee Lamb,40151192,WR/FLEX,7800,GB@DAL 09/28/2025 08:20PM ET,DAL,14.73
QB,Josh Allen (40150713),Josh Allen,40150713,QB,7700,NO@BUF 09/28/2025 01:00PM ET,BUF,25.53
RB,Jahmyr Gibbs (40150828),Jahmyr Gibbs,40150828,RB/FLEX,7700,CLE@DET 09/28/2025 01:00PM ET,DET,17.2
RB,Saquon Barkley (40150830),Saquon Barkley,40150830,RB/FLEX,7600,PHI@TB 09/28/2025 01:00PM ET,PHI,15.1
WR,Justin Jefferson (40151194),Justin Jefferson,40151194,WR/FLEX,7500,MIN@PIT 09/28/2025 09:30AM ET,MIN,12.8
RB,Jonathan Taylor (40150832),Jonathan Taylor,40150832,RB/FLEX,7500,IND@LAR 09/28/2025 04:05PM ET,IND,27.03
QB,Lamar Jackson (40150714),Lamar Jackson,40150714,QB,7500,BAL@KC 09/28/2025 04:25PM ET,BAL,27.83
WR,Nico Collins (40151196),Nico Collins,40151196,WR/FLEX,7400,TEN@HOU 09/28/2025 01:00PM ET,HOU,15.37
WR,Amon-Ra St. Brown (40151198),Amon-Ra St. Brown,40151198,WR/FLEX,7300,CLE@DET 09/28/2025 01:00PM ET,DET,25.35
RB,Derrick Henry (40150834),Derrick Henry,40150834,RB/FLEX,7200,BAL@KC 09/28/2025 04:25PM ET,BAL,17.75
RB,James Cook III (40150836),James Cook III,40150836,RB/FLEX,7100,NO@BUF 09/28/2025 01:00PM ET,BUF,24.83
QB,Jayden Daniels (40150715),Jayden Daniels,40150715,QB,7000,WAS@ATL 09/28/2025 01:00PM ET,WAS,19.91
WR,Malik Nabers (40151200),Malik Nabers,40151200,WR/FLEX,7000,LAC@NYG 09/28/2025 01:00PM ET,NYG,18.7
RB,De'Von Achane (40150838),De'Von Achane,40150838,RB/FLEX,7000,NYJ@MIA 09/29/2025 07:15PM ET,MIA,19.6
RB,Bucky Irving (40150840),Bucky Irving,40150840,RB/FLEX,6900,PHI@TB 09/28/2025 01:00PM ET,TB,15.5
WR,Emeka Egbuka (40151202),Emeka Egbuka,40151202,WR/FLEX,6800,PHI@TB 09/28/2025 01:00PM ET,TB,17
RB,Josh Jacobs (40150842),Josh Jacobs,40150842,RB/FLEX,6800,GB@DAL 09/28/2025 08:20PM ET,GB,13.6
QB,Jalen Hurts (40150716),Jalen Hurts,40150716,QB,6700,PHI@TB 09/28/2025 01:00PM ET,PHI,21.95
WR,Zay Flowers (40151204),Zay Flowers,40151204,WR/FLEX,6700,BAL@KC 09/28/2025 04:25PM ET,BAL,23
WR,Jaxon Smith-Njigba (40151206),Jaxon Smith-Njigba,40151206,WR/FLEX,6600,SEA@ARI 09/25/2025 08:15PM ET,SEA,21.77
WR,Mike Evans (40151208),Mike Evans,40151208,WR/FLEX,6600,PHI@TB 09/28/2025 01:00PM ET,TB,11.33
RB,Chase Brown (40150844),Chase Brown,40150844,RB/FLEX,6600,CIN@DEN 09/29/2025 08:15PM ET,CIN,9.2
RB,Kenneth Walker III (40150846),Kenneth Walker III,40150846,RB/FLEX,6500,SEA@ARI 09/25/2025 08:15PM ET,SEA,15.07
WR,Ladd McConkey (40151210),Ladd McConkey,40151210,WR/FLEX,6500,LAC@NYG 09/28/2025 01:00PM ET,LAC,10.43
QB,Baker Mayfield (40150717),Baker Mayfield,40150717,QB,6500,PHI@TB 09/28/2025 01:00PM ET,TB,20.07
WR,Tyreek Hill (40151212),Tyreek Hill,40151212,WR/FLEX,6500,NYJ@MIA 09/29/2025 07:15PM ET,MIA,14.6
RB,Jordan Mason (40150848),Jordan Mason,40150848,RB/FLEX,6400,MIN@PIT 09/28/2025 09:30AM ET,MIN,13.63
QB,Jared Goff (40150718),Jared Goff,40150718,QB,6400,CLE@DET 09/28/2025 01:00PM ET,DET,24.43
WR,A.J. Brown (40151214),A.J. Brown,40151214,WR/FLEX,6400,PHI@TB 09/28/2025 01:00PM ET,PHI,11.8
QB,Justin Herbert (40150719),Justin Herbert,40150719,QB,6300,LAC@NYG 09/28/2025 01:00PM ET,LAC,23.1
RB,Kyren Williams (40150850),Kyren Williams,40150850,RB/FLEX,6300,IND@LAR 09/28/2025 04:05PM ET,LAR,14.37
WR,Rome Odunze (40151216),Rome Odunze,40151216,WR/FLEX,6300,CHI@LV 09/28/2025 04:25PM ET,CHI,21.9
WR,George Pickens (40151218),George Pickens,40151218,WR/FLEX,6300,GB@DAL 09/28/2025 08:20PM ET,DAL,13.87
WR,Davante Adams (40151222),Davante Adams,40151222,WR/FLEX,6200,IND@LAR 09/28/2025 04:05PM ET,LAR,16.43
RB,Ashton Jeanty (40150852),Ashton Jeanty,40150852,RB/FLEX,6200,CHI@LV 09/28/2025 04:25PM ET,LV,8.57
QB,Jordan Love (40150720),Jordan Love,40150720,QB,6200,GB@DAL 09/28/2025 08:20PM ET,GB,16.31
WR,Garrett Wilson (40151220),Garrett Wilson,40151220,WR/FLEX,6200,NYJ@MIA 09/29/2025 07:15PM ET,NYJ,18.63
RB,Alvin Kamara (40150854),Alvin Kamara,40150854,RB/FLEX,6100,NO@BUF 09/28/2025 01:00PM ET,NO,12.43
QB,Brock Purdy (40150721),Brock Purdy,40150721,QB,6100,JAX@SF 09/28/2025 04:05PM ET,SF,18.78
WR,Brian Thomas Jr. (40151226),Brian Thomas Jr.,40151226,WR/FLEX,6100,JAX@SF 09/28/2025 04:05PM ET,JAX,8.47
WR,Courtland Sutton (40151224),Courtland Sutton,40151224,WR/FLEX,6100,CIN@DEN 09/29/2025 08:15PM ET,DEN,15.5
WR,Deebo Samuel Sr. (40151230),Deebo Samuel Sr.,40151230,WR/FLEX,6000,WAS@ATL 09/28/2025 01:00PM ET,WAS,14.97
RB,Chuba Hubbard (40150856),Chuba Hubbard,40150856,RB/FLEX,6000,CAR@NE 09/28/2025 01:00PM ET,CAR,15.4
WR,Chris Godwin Jr. (40151228),Chris Godwin Jr.,40151228,WR/FLEX,6000,PHI@TB 09/28/2025 01:00PM ET,TB,0
QB,Patrick Mahomes (40150722),Patrick Mahomes,40150722,QB,6000,BAL@KC 09/28/2025 04:25PM ET,KC,20.75
WR,Jameson Williams (40151234),Jameson Williams,40151234,WR/FLEX,5900,CLE@DET 09/28/2025 01:00PM ET,DET,14.2
WR,Tetairoa McMillan (40151232),Tetairoa McMillan,40151232,WR/FLEX,5900,CAR@NE 09/28/2025 01:00PM ET,CAR,12.87
RB,Omarion Hampton (40150858),Omarion Hampton,40150858,RB/FLEX,5900,LAC@NYG 09/28/2025 01:00PM ET,LAC,12.17
QB,Matthew Stafford (40150723),Matthew Stafford,40150723,QB,5900,IND@LAR 09/28/2025 04:05PM ET,LAR,15.59
RB,Javonte Williams (40150860),Javonte Williams,40150860,RB/FLEX,5900,GB@DAL 09/28/2025 08:20PM ET,DAL,19.53
QB,Kyler Murray (40150725),Kyler Murray,40150725,QB,5800,SEA@ARI 09/25/2025 08:15PM ET,ARI,15.79
RB,Travis Etienne Jr. (40150864),Travis Etienne Jr.,40150864,RB/FLEX,5800,JAX@SF 09/28/2025 04:05PM ET,JAX,16.7
WR,Xavier Worthy (40151236),Xavier Worthy,40151236,WR/FLEX,5800,BAL@KC 09/28/2025 04:25PM ET,KC,0
QB,Caleb Williams (40150724),Caleb Williams,40150724,QB,5800,CHI@LV 09/28/2025 04:25PM ET,CHI,23.77
TE,Brock Bowers (40151786),Brock Bowers,40151786,TE/FLEX,5800,CHI@LV 09/28/2025 04:25PM ET,LV,12.3
RB,J.K. Dobbins (40150862),J.K. Dobbins,40150862,RB/FLEX,5800,CIN@DEN 09/29/2025 08:15PM ET,DEN,15.2
