,Player,Position,Team,Opponent,Salary,% ownership
0,De'Von Achane,RB,MIA,@CAR,"$7,300",30.0%
1,Jonathan Taylor,RB,IND,LV,"$8,000",25.9%
2,Jaxon Smith-Njigba,WR,SEA,TB,"$7,100",25.7%
3,Breece Hall,RB,NYJ,DAL,"$5,600",23.5%
4,Omarion Hampton,RB,LAC,WAS,"$6,500",21.8%
5,Trey McBride,TE,ARI,TEN,"$5,800",21.0%
6,Rachaad White,RB,TB,@SEA,"$4,700",20.9%
7,Jahmyr Gibbs,RB,DET,@CIN,"$7,700",20.7%
8,Garrett Wilson,WR,NYJ,DAL,"$6,100",20.6%
9,Rico Dowdle,RB,CAR,MIA,"$4,300",18.8%
11,Tyler Warren,TE,IND,LV,"$4,700",18.3%
12,Amon-Ra St. Brown,WR,DET,@CIN,"$7,900",17.4%
13,Quentin Johnston,WR,LAC,WAS,"$5,700",16.7%
14,George Pickens,WR,DAL,@NYJ,"$6,600",15.5%
15,Michael Pittman Jr.,WR,IND,LV,"$5,100",15.1%
16,Justin Fields,QB,NYJ,DAL,"$5,600",14.8%
17,Deebo Samuel Sr.,WR,WAS,@LAC,"$6,300",14.5%
18,Chris Olave,WR,NO,NYG,"$5,200",14.3%
19,Javonte Williams,RB,DAL,@NYJ,"$6,200",14.2%
20,Jaylen Waddle,WR,MIA,@CAR,"$5,400",14.0%
21,Saquon Barkley,RB,PHI,DEN,"$7,500",13.8%
22,Justin Herbert,QB,LAC,WAS,"$6,100",13.8%
23,Jake Ferguson,TE,DAL,@NYJ,"$4,800",13.3%
24,Jakobi Meyers,WR,LV,@IND,"$5,600",13.3%
25,Cam Skattebo,RB,NYG,@NO,"$6,000",13.2%
26,Brock Bowers,TE,LV,@IND,"$5,500",13.1%
27,Nico Collins,WR,HOU,@BAL,"$6,800",12.9%
28,Ladd McConkey,WR,LAC,WAS,"$5,500",12.5%
29,Tetairoa McMillan,WR,CAR,MIA,"$5,700",12.0%
30,A.J. Brown,WR,PHI,DEN,"$6,000",11.9%
32,Keenan Allen,WR,LAC,WAS,"$5,600",10.4%
35,Kyler Murray,QB,ARI,TEN,"$5,900",9.6%
36,Daniel Jones,QB,IND,LV,"$5,800",9.5%
37,Marvin Harrison Jr.,WR,ARI,TEN,"$5,400",9.4%
38,Alvin Kamara,RB,NO,NYG,"$5,900",9.3%
39,Zay Flowers,WR,BAL,HOU,"$6,200",9.2%
40,Zach Ertz,TE,WAS,@LAC,"$3,800",8.9%
41,Ja'Marr Chase,WR,CIN,DET,"$7,800",8.7%
42,Tony Pollard,RB,TEN,@ARI,"$5,400",8.5%
43,Derrick Henry,RB,BAL,HOU,"$7,000",8.1%
44,Ashton Jeanty,RB,LV,@IND,"$6,700",8.0%
