week,Player,Salary,Roster Position,%Drafted,FPTS
7,Quinshon Judkins,6000,RB,41.15%,26.4
7,Rashee Rice,5600,WR,36.58%,23.2
7,CeeDee Lamb,7500,WR,33.58%,25.0
7,Breece Hall,6300,FLEX,27.03%,7.2
7,Jonathan Taylor,8800,RB,25.55%,34.2
7,Javonte Williams,6700,RB,25.08%,21.8
7,Zach Ertz,3800,TE,23.28%,12.7
7,Broncos,3500,DST,21.78%,5.0
7,Jacory Croskey-Merritt,6100,RB,21.42%,4.2
7,Justin Jefferson,7600,WR,20.78%,12.9
7,Jayden Daniels,6900,QB,19.57%,18.74
7,Chris Olave,5400,WR,19.36%,26.8
7,Tyler Warren,5200,TE,19.05%,16.9
7,Trey McBride,5700,TE,17.80%,29.4
7,Chris Moore,3000,FLEX,16.62%,7.9
7,Courtland Sutton,5900,WR,15.80%,16.7
7,Patrick Mahomes,7000,QB,15.27%,26.24
7,Michael Pittman Jr.,5100,WR,15.21%,20.8
7,Dak Prescott,6500,QB,14.32%,23.26
7,Saquon Barkley,7700,RB,14.29%,5.2
7,Rome Odunze,6600,WR,13.26%,5.1
7,Browns,3000,DST,13.22%,25.0
7,Ladd McConkey,6000,WR,13.05%,15.7
7,Josh Jacobs,7800,RB,12.16%,18.8
7,George Pickens,7300,WR,12.14%,12.2
7,Mason Taylor,3400,TE,11.72%,6.1
7,Patriots,3400,DST,11.69%,19.0
7,Quentin Johnston,5900,WR,11.56%,11.0
7,Kimani Vidal,5500,RB,10.77%,7.5
7,D'Andre Swift,5700,RB,10.15%,23.8
7,Chiefs,3700,DST,9.88%,13.0
7,Michael Mayer,3500,TE,9.86%,2.0
7,Jordan Mason,6200,RB,9.83%,11.7
7,A.J. Brown,5800,WR,9.75%,31.1
7,Luke McCaffrey,4100,WR,9.15%,0.0
7,Romeo Doubs,5000,WR,9.11%,13.2
7,Harold Fannin Jr.,3900,TE,8.44%,7.6
7,Matthew Golden,4700,WR,8.23%,7.7
7,De'Von Achane,8100,RB,8.13%,12.8
7,Stefon Diggs,5600,WR,8.13%,13.9
7,Caleb Williams,5800,QB,8.08%,5.68
7,Keenan Allen,5500,FLEX,7.97%,31.9
