,Player,Position,Team,Opponent,Salary,% ownership
0,Bijan Robinson,RB,ATL,MIA,"$8,800",29.6%
1,Zay Flowers,WR,BAL,CHI,"$5,400",26.5%
2,Rachaad White,RB,TB,@NO,"$6,400",26.0%
3,Ja'Marr Chase,WR,CIN,NYJ,"$8,100",25.9%
4,Drake London,WR,ATL,MIA,"$6,400",22.0%
5,Jonathan Taylor,RB,IND,TEN,"$9,500",22.0%
6,Derrick Henry,RB,BAL,CHI,"$6,000",20.0%
7,De'Von Achane,RB,MIA,@ATL,"$7,300",19.8%
8,Emeka Egbuka,WR,TB,@NO,"$7,000",19.1%
9,Christian McCaffrey,RB,SF,@HOU,"$9,000",19.1%
10,Chris Olave,WR,NO,TB,"$5,800",16.8%
11,Lamar Jackson,QB,BAL,CHI,"$6,800",16.6%
12,A.J. Brown,WR,PHI,NYG,"$6,100",16.0%
13,Dalton Schultz,TE,HOU,SF,"$3,300",15.7%
14,James Cook III,RB,BUF,@CAR,"$6,700",15.7%
15,Breece Hall,RB,NYJ,@CIN,"$6,100",15.1%
17,Tyler Warren,TE,IND,TEN,"$5,500",13.7%
18,Jaylen Waddle,WR,MIA,@ATL,"$5,700",13.5%
19,Alvin Kamara,RB,NO,TB,"$5,700",13.3%
20,Wan'Dale Robinson,WR,NYG,@PHI,"$5,200",12.4%
21,George Kittle,TE,SF,@HOU,"$4,500",12.2%
22,Jalen Hurts,QB,PHI,NYG,"$6,600",12.1%
23,Chase Brown,RB,CIN,NYJ,"$5,400",11.8%
24,Mark Andrews,TE,BAL,CHI,"$3,600",11.7%
25,Saquon Barkley,RB,PHI,NYG,"$7,600",10.6%
26,DeVonta Smith,WR,PHI,NYG,"$5,900",10.3%
27,Bo Nix,QB,DEN,DAL,"$6,000",9.6%
28,Courtland Sutton,WR,DEN,DAL,"$6,200",9.3%
30,Baker Mayfield,QB,TB,@NO,"$6,400",8.9%
31,CeeDee Lamb,WR,DAL,@DEN,"$7,800",8.9%
32,Tetairoa McMillan,WR,CAR,BUF,"$5,700",8.9%
33,Daniel Jones,QB,IND,TEN,"$6,100",8.6%
34,Rhamondre Stevenson,RB,NE,CLE,"$5,500",8.5%
35,Cade Otton,TE,TB,@NO,"$3,400",8.3%
37,Stefon Diggs,WR,NE,CLE,"$5,800",8.2%
38,Javonte Williams,RB,DAL,@DEN,"$6,800",8.0%
39,Michael Pittman Jr.,WR,IND,TEN,"$5,600",7.4%
40,Kyle Pitts Sr.,TE,ATL,MIA,"$3,900",7.4%
41,Rome Odunze,WR,CHI,@BAL,"$6,300",7.1%
42,Tee Higgins,WR,CIN,NYJ,"$5,600",7.0%
43,Dallas Goedert,TE,PHI,NYG,"$4,200",7.0%
45,Olamide Zaccheaus,WR,CHI,@BAL,"$3,300",6.6%
46,Juwan Johnson,TE,NO,TB,"$3,300",6.6%
47,Joe Flacco,QB,CIN,NYJ,"$5,400",6.5%
48,J.K. Dobbins,RB,DEN,DAL,"$5,800",6.5%
50,Mason Taylor,TE,NYJ,@CIN,"$3,500",6.3%
51,Rashid Shaheed,WR,NO,TB,"$4,700",6.1%
52,Alec Pierce,WR,IND,TEN,"$4,600",6.0%
53,C.J. Stroud,QB,HOU,SF,"$5,100",5.7%
54,Hunter Henry,TE,NE,CLE,"$3,800",5.6%
55,Isaiah Likely,TE,BAL,CHI,"$2,600",5.4%
56,D'Andre Swift,RB,CHI,@BAL,"$5,900",5.4%
57,Jerry Jeudy,WR,CLE,@NE,"$4,100",5.3%
58,Marvin Mims Jr.,WR,DEN,DAL,"$3,900",5.3%
59,Khalil Shakir,WR,BUF,@CAR,"$5,100",5.1%
64,Spencer Rattler,QB,NO,TB,"$4,700",4.8%
65,Caleb Williams,QB,CHI,@BAL,"$5,600",4.8%
66,Troy Franklin,WR,DEN,DAL,"$4,200",4.7%
67,Elic Ayomanor,WR,TEN,@IND,"$3,900",4.6%
