,Player,Position,Team,Opponent,Salary,% ownership
0,Quinshon Judkins,RB,CLE,MIA,"$6,000",37.7%
1,Rashee Rice,WR,KC,LV,"$5,600",32.7%
2,Javonte Williams,RB,DAL,WAS,"$6,700",27.3%
3,Deebo Samuel Sr.,WR,WAS,@DAL,"$6,200",24.3%
4,Trey McBride,TE,ARI,GB,"$5,700",24.2%
5,CeeDee Lamb,WR,DAL,WAS,"$7,500",23.4%
6,Chris Olave,WR,NO,@CHI,"$5,400",22.1%
7,Breece Hall,RB,NYJ,CAR,"$6,300",22.0%
8,Jayden Daniels,QB,WAS,@DAL,"$6,900",21.9%
9,Jonathan Taylor,RB,IND,@LAC,"$8,800",18.0%
10,Josh Jacobs,RB,GB,@ARI,"$7,800",16.9%
11,A.J. Brown,WR,PHI,@MIN,"$5,800",16.1%
12,Tyler Warren,TE,IND,@LAC,"$5,200",16.1%
13,De'Von Achane,RB,MIA,@CLE,"$8,100",15.7%
14,Jacory Croskey-Merritt,RB,WAS,@DAL,"$6,100",15.3%
15,D'Andre Swift,RB,CHI,NO,"$5,700",15.1%
16,Justin Jefferson,WR,MIN,PHI,"$7,600",14.3%
17,Patrick Mahomes,QB,KC,LV,"$7,000",13.7%
19,Stefon Diggs,WR,NE,@TEN,"$5,600",11.5%
20,Caleb Williams,QB,CHI,NO,"$5,800",11.2%
21,Rome Odunze,WR,CHI,NO,"$6,600",10.8%
22,Romeo Doubs,WR,GB,@ARI,"$5,000",10.7%
23,Kimani Vidal,RB,LAC,IND,"$5,500",10.6%
24,Zach Ertz,TE,WAS,@DAL,"$3,800",10.5%
26,Saquon Barkley,RB,PHI,@MIN,"$7,700",10.4%
27,Michael Mayer,TE,LV,@KC,"$3,500",10.3%
28,Jaylen Waddle,WR,MIA,@CLE,"$6,300",10.2%
29,Ladd McConkey,WR,LAC,IND,"$6,000",10.1%
30,George Pickens,WR,DAL,WAS,"$7,300",9.7%
31,Michael Pittman Jr.,WR,IND,@LAC,"$5,100",9.2%
32,J.K. Dobbins,RB,DEN,NYG,"$5,600",9.2%
33,Keenan Allen,WR,LAC,IND,"$5,500",8.8%
34,Justin Herbert,QB,LAC,IND,"$6,400",8.5%
35,Rico Dowdle,RB,CAR,@NYJ,"$6,800",8.5%
36,Ashton Jeanty,RB,LV,@KC,"$7,000",8.4%
37,Courtland Sutton,WR,DEN,NYG,"$5,900",8.3%
38,Quentin Johnston,WR,LAC,IND,"$5,900",8.3%
40,Luther Burden III,WR,CHI,NO,"$4,300",7.7%
43,Jordan Mason,RB,MIN,PHI,"$6,200",7.4%
44,Tetairoa McMillan,WR,CAR,@NYJ,"$6,400",7.3%
46,Travis Kelce,TE,KC,LV,"$4,700",7.1%
47,Jake Ferguson,TE,DAL,WAS,"$5,500",6.7%
48,Rhamondre Stevenson,RB,NE,@TEN,"$5,200",6.5%
49,Tucker Kraft,TE,GB,@ARI,"$4,900",6.4%
50,Mason Taylor,TE,NYJ,CAR,"$3,400",6.3%
51,Jakobi Meyers,WR,LV,@KC,"$5,500",6.2%
52,Jalen Hurts,QB,PHI,@MIN,"$6,700",6.2%
53,Xavier Worthy,WR,KC,LV,"$6,100",6.1%
54,Matthew Golden,WR,GB,@ARI,"$4,700",5.9%
57,Dallas Goedert,TE,PHI,@MIN,"$4,500",5.8%
58,Olamide Zaccheaus,WR,CHI,NO,"$3,700",5.7%
59,Jordan Addison,WR,MIN,PHI,"$5,100",5.4%
60,Jerry Jeudy,WR,CLE,MIA,"$4,400",5.3%
61,DeVonta Smith,WR,PHI,@MIN,"$5,700",5.2%
62,Hunter Henry,TE,NE,@TEN,"$4,100",5.0%
63,Alvin Kamara,RB,NO,@CHI,"$5,900",5.0%
64,Dak Prescott,QB,DAL,WAS,"$6,500",4.8%
65,Rashid Shaheed,WR,NO,@CHI,"$4,500",4.7%
67,Harold Fannin Jr.,TE,CLE,MIA,"$3,900",4.6%
68,Cam Skattebo,RB,NYG,@DEN,"$6,500",4.6%
69,DJ Moore,WR,CHI,NO,"$5,200",4.4%
70,Carson Wentz,QB,MIN,PHI,"$5,000",4.3%
72,Isiah Pacheco,RB,KC,LV,"$5,000",4.1%
75,Wan'Dale Robinson,WR,NYG,@DEN,"$5,400",4.0%
76,Chris Moore,WR,WAS,@DAL,"$3,000",4.0%
79,Jordan Love,QB,GB,@ARI,"$6,200",3.8%
80,Dillon Gabriel,QB,CLE,MIA,"$4,400",3.7%
81,Bo Nix,QB,DEN,NYG,"$5,600",3.6%
82,Spencer Rattler,QB,NO,@CHI,"$4,800",3.5%
83,Juwan Johnson,TE,NO,@CHI,"$3,100",3.5%
84,Oronde Gadsden II,TE,LAC,IND,"$3,300",3.5%
85,Tre Tucker,WR,LV,@KC,"$5,300",3.4%
86,Alec Pierce,WR,IND,@LAC,"$4,100",3.1%
87,Troy Franklin,WR,DEN,NYG,"$3,900",3.0%
88,Drake Maye,QB,NE,@TEN,"$6,300",2.8%
89,T.J. Hockenson,TE,MIN,PHI,"$3,600",2.7%
90,Elic Ayomanor,WR,TEN,NE,"$4,200",2.7%
91,Marvin Mims Jr.,WR,DEN,NYG,"$3,500",2.6%
92,Justin Fields,QB,NYJ,CAR,"$5,700",2.6%
95,Jacoby Brissett,QB,ARI,GB,"$4,500",2.3%
96,Darren Waller,TE,MIA,@CLE,"$4,200",2.3%
98,Tony Pollard,RB,TEN,NE,"$5,400",2.2%
99,Geno Smith,QB,LV,@KC,"$4,700",2.0%
100,Daniel Jones,QB,IND,@LAC,"$6,000",2.0%
101,David Njoku,TE,CLE,MIA,"$3,400",2.0%
102,Chig Okonkwo,TE,TEN,NE,"$3,300",1.9%
103,Evan Engram,TE,DEN,NYG,"$4,000",1.8%
104,Isaiah Bond,WR,CLE,MIA,"$3,400",1.7%
105,Dontayvion Wicks,WR,GB,@ARI,"$3,600",1.6%
106,TreVeyon Henderson,RB,NE,@TEN,"$5,100",1.6%
108,Jaxson Dart,QB,NYG,@DEN,"$5,200",1.5%
109,Theo Johnson,TE,NYG,@DEN,"$3,700",1.4%
110,Malik Washington,WR,MIA,@CLE,"$3,800",1.4%
111,Michael Carter,RB,ARI,GB,"$4,800",1.3%
112,Kayshon Boutte,WR,NE,@TEN,"$4,600",1.2%
113,Josh Reynolds,WR,NYJ,CAR,"$4,200",1.2%
114,Hollywood Brown,WR,KC,LV,"$4,600",1.1%
115,Michael Wilson,WR,ARI,GB,"$3,800",1.1%
116,Lil'Jordan Humphrey,WR,NYG,@DEN,"$3,100",1.0%
118,Zay Jones,WR,ARI,GB,"$3,500",0.9%
120,Bryce Young,QB,CAR,@NYJ,"$5,300",0.7%
121,Chuba Hubbard,RB,CAR,@NYJ,"$5,800",0.6%
122,Tua Tagovailoa,QB,MIA,@CLE,"$5,100",0.5%
123,RJ Harvey,RB,DEN,NYG,"$4,600",0.5%
124,Zonovan Knight,RB,ARI,GB,"$5,300",0.5%
125,Tommy Tremble,TE,CAR,@NYJ,"$2,900",0.4%
