Player,Position,Team,Opponent,Salary,% ownership
Chase Brown,RB,CIN,CLE,"$6,600",23.2%
De'Von Achane,RB,MIA,IND,"$6,900",22.6%
Emeka Egbuka,WR,TB,ATL,"$4,600",20.9%
Drake London,WR,ATL,TB,"$6,500",19.9%
Tetairoa McMillan,WR,CAR,JAX,"$5,200",19.9%
James Conner,RB,ARI,NO,"$6,100",19.8%
Brian Thomas Jr.,WR,JAX,CAR,"$6,800",18.3%
Ja'Marr Chase,WR,CIN,CLE,"$8,100",17.8%
Jonathan Taylor,RB,IND,MIA,"$6,800",17.4%
David Njoku,TE,CLE,CIN,"$4,700",17.1%
Alvin Kamara,RB,NO,ARI,"$6,300",16.3%
Mike Evans,WR,TB,ATL,"$6,600",15.6%
Malik Nabers,WR,NYG,WAS,"$7,000",14.8%
Bucky Irving,RB,TB,ATL,"$7,100",14.5%
Trey McBride,TE,ARI,NO,"$6,200",13.6%
Tee Higgins,WR,CIN,CLE,"$6,400",13.0%
Christian McCaffrey,RB,SF,SEA,"$7,300",12.8%
Tyreek Hill,WR,MIA,IND,"$6,700",12.6%
Josh Jacobs,RB,GB,DET,"$6,700",12.1%
George Kittle,TE,SF,SEA,"$5,800",12.0%
Jerry Jeudy,WR,CLE,CIN,"$5,400",12.0%
Jaxon Smith-Njigba,WR,SEA,SF,"$5,800",11.8%
Tony Pollard,RB,TEN,DEN,"$5,700",11.3%
Puka Nacua,WR,LA,HOU,"$7,600",11.2%
Jayden Daniels,QB,WAS,NYG,"$7,000",11.0%
Trevor Lawrence,QB,JAX,CAR,"$5,300",10.8%
Kenneth Walker III,RB,SEA,SF,"$5,900",10.7%
Bijan Robinson,RB,ATL,TB,"$8,000",10.6%
Steelers,DST,PIT,NYJ,"$3,300",10.5%
Courtland Sutton,WR,DEN,TEN,"$6,000",9.9%
Brenton Strange,TE,JAX,CAR,"$3,300",9.6%
Nico Collins,WR,HOU,LA,"$7,400",9.5%
Ricky Pearsall,WR,SF,SEA,"$4,500",9.3%
Marvin Harrison Jr.,WR,ARI,NO,"$5,500",9.2%
Joe Burrow,QB,CIN,CLE,"$6,900",8.8%
Jakobi Meyers,WR,LV,NE,"$5,100",8.7%
Jahmyr Gibbs,RB,DET,GB,"$7,700",8.6%
Kyren Williams,RB,LA,HOU,"$6,500",8.5%
Jaylen Warren,RB,PIT,NYJ,"$5,200",8.3%
Josh Downs,WR,IND,MIA,"$4,600",8.1%
Tucker Kraft,TE,GB,DET,"$4,000",7.8%
Raiders,DST,LV,NE,"$2,600",7.7%
Amon-Ra St. Brown,WR,DET,GB,"$7,100",7.7%
Daniel Jones,QB,IND,MIA,"$5,100",7.2%
Ashton Jeanty,RB,LV,NE,"$7,000",7.2%
Deebo Samuel Sr.,WR,WAS,NYG,"$5,200",7.2%
Brock Bowers,TE,LV,NE,"$6,500",7.1%
Joe Flacco,QB,CLE,CIN,"$4,900",7.0%
Terry McLaurin,WR,WAS,NYG,"$6,200",7.0%
Calvin Ridley,WR,TEN,DEN,"$5,000",6.8%
Broncos,DST,DEN,TEN,"$3,800",6.7%
Jets,DST,NYJ,PIT,"$2,800",6.7%
Texans,DST,HOU,LA,"$2,500",6.4%
Davante Adams,WR,LA,HOU,"$6,100",5.9%
Baker Mayfield,QB,TB,ATL,"$6,600",5.9%
Jaylen Waddle,WR,MIA,IND,"$5,700",5.9%
Chuba Hubbard,RB,CAR,JAX,"$6,000",5.8%
Drake Maye,QB,NE,LV,"$5,500",5.5%
Seahawks,DST,SEA,SF,"$2,500",5.4%
Giants,DST,NYG,WAS,"$2,300",5.4%
Chris Olave,WR,NO,ARI,"$5,100",5.3%
Jauan Jennings,WR,SF,SEA,"$4,900",5.1%
Jameson Williams,WR,DET,GB,"$5,500",5.0%
Travis Hunter,WR,JAX,CAR,"$5,000",4.9%
Zach Ertz,TE,WAS,NYG,"$4,100",4.9%
Kyler Murray,QB,ARI,NO,"$6,400",4.8%
Tyrone Tracy Jr.,RB,NYG,WAS,"$5,600",4.6%
Patriots,DST,NE,LV,"$3,100",4.5%
Brock Purdy,QB,SF,SEA,"$6,200",4.5%
Cade Otton,TE,TB,ATL,"$3,800",4.4%
Bo Nix,QB,DEN,TEN,"$6,300",4.3%
49ers,DST,SF,SEA,"$2,900",4.3%
Rams,DST,LA,HOU,"$3,400",4.2%
Tua Tagovailoa,QB,MIA,IND,"$5,800",4.2%
Hunter Henry,TE,NE,LV,"$3,900",4.1%
Stefon Diggs,WR,NE,LV,"$5,300",4.1%
Tyler Warren,TE,IND,MIA,"$4,400",4.1%
Michael Pittman Jr.,WR,IND,MIA,"$4,900",4.0%
Cardinals,DST,ARI,NO,"$3,500",4.0%
Titans,DST,TEN,DEN,"$2,200",3.9%
Dolphins,DST,MIA,IND,"$2,700",3.8%
Bengals,DST,CIN,CLE,"$3,600",3.7%
DK Metcalf,WR,PIT,NYJ,"$5,900",3.6%
Geno Smith,QB,LV,NE,"$5,200",3.6%
Michael Penix Jr.,QB,ATL,TB,"$5,600",3.6%
Garrett Wilson,WR,NYJ,PIT,"$6,300",3.5%
Matthew Golden,WR,GB,DET,"$4,900",3.5%
TreVeyon Henderson,RB,NE,LV,"$5,500",3.2%
Romeo Doubs,WR,GB,DET,"$4,300",3.2%
Rashid Shaheed,WR,NO,ARI,"$4,600",3.1%
Panthers,DST,CAR,JAX,"$2,400",3.1%
Sam LaPorta,TE,DET,GB,"$5,000",2.9%
Bryce Young,QB,CAR,JAX,"$5,700",2.9%
Jordan Love,QB,GB,DET,"$6,100",2.8%
Commanders,DST,WAS,NYG,"$3,700",2.8%
Cedric Tillman,WR,CLE,CIN,"$4,400",2.7%
Falcons,DST,ATL,TB,"$2,600",2.7%
Dalton Schultz,TE,HOU,LA,"$3,500",2.7%
Colts,DST,IND,MIA,"$2,800",2.7%
Xavier Legette,WR,CAR,JAX,"$4,200",2.6%
Jerome Ford,RB,CLE,CIN,"$5,600",2.6%
Ja'Tavion Sanders,TE,CAR,JAX,"$2,900",2.6%
Austin Ekeler,RB,WAS,NYG,"$4,800",2.6%
Austin Hooper,TE,NE,LV,"$2,900",2.6%
Justin Fields,QB,NYJ,PIT,"$5,400",2.5%
Russell Wilson,QB,NYG,WAS,"$5,000",2.5%
Jaguars,DST,JAX,CAR,"$3,200",2.4%
Browns,DST,CLE,CIN,"$2,300",2.4%
Darnell Mooney,WR,ATL,TB,"$5,000",2.4%
Marvin Mims Jr.,WR,DEN,TEN,"$4,500",2.4%
Buccaneers,DST,TB,ATL,"$3,000",2.2%
Evan Engram,TE,DEN,TEN,"$4,500",2.1%
Chig Okonkwo,TE,TEN,DEN,"$3,400",2.0%
Theo Johnson,TE,NYG,WAS,"$3,000",1.9%
Kyle Pitts Sr.,TE,ATL,TB,"$4,300",1.9%
Pat Freiermuth,TE,PIT,NYJ,"$3,200",1.9%
Packers,DST,GB,DET,"$2,900",1.9%
Saints,DST,NO,ARI,"$2,400",1.8%
Wan'Dale Robinson,WR,NYG,WAS,"$4,500",1.7%
Juwan Johnson,TE,NO,ARI,"$3,300",1.7%
Matthew Stafford,QB,LA,HOU,"$5,900",1.5%
C.J. Stroud,QB,HOU,LA,"$6,000",1.5%
Spencer Rattler,QB,NO,ARI,"$4,800",1.5%
DeMario Douglas,WR,NE,LV,"$4,200",1.5%
J.K. Dobbins,RB,DEN,TEN,"$5,500",1.5%
Jacory Croskey-Merritt,RB,WAS,NYG,"$4,000",1.4%
Lions,DST,DET,GB,"$2,700",1.3%
Mike Gesicki,TE,CIN,CLE,"$3,600",1.3%
Sam Darnold,QB,SEA,SF,"$5,300",1.3%
Jared Goff,QB,DET,GB,"$6,500",1.3%
Ray-Ray McCloud III,WR,ATL,TB,"$3,700",1.3%
Travis Etienne Jr.,RB,JAX,CAR,"$5,400",1.3%
RJ Harvey,RB,DEN,TEN,"$5,800",1.2%
Tre Tucker,WR,LV,NE,"$3,100",1.2%
Nick Chubb,RB,HOU,LA,"$5,200",1.2%
Breece Hall,RB,NYJ,PIT,"$6,400",1.2%
AJ Barner,TE,SEA,SF,"$2,800",1.2%
Mason Taylor,TE,NYJ,PIT,"$3,100",1.0%
Tory Horton,WR,SEA,SF,"$3,000",0.9%
Brian Robinson Jr.,RB,SF,SEA,"$5,800",0.8%
Tank Bigsby,RB,JAX,CAR,"$4,600",0.8%
Tyler Higbee,TE,LA,HOU,"$3,400",0.8%
Noah Brown,WR,WAS,NYG,"$3,100",0.7%
Aaron Rodgers,QB,PIT,NYJ,"$5,200",0.7%
Harold Fannin Jr.,TE,CLE,CIN,"$3,100",0.7%
Dont'e Thornton Jr.,WR,LV,NE,"$3,600",0.7%
Cooper Kupp,WR,SEA,SF,"$5,300",0.7%
Cam Ward,QB,TEN,DEN,"$5,000",0.7%
Rhamondre Stevenson,RB,NE,LV,"$5,400",0.7%
Jayden Reed,WR,GB,DET,"$5,400",0.6%
Jonnu Smith,TE,PIT,NYJ,"$4,200",0.6%
Dylan Sampson,RB,CLE,CIN,"$4,900",0.5%
Zach Charbonnet,RB,SEA,SF,"$4,900",0.5%
David Montgomery,RB,DET,GB,"$5,700",0.5%
Andrei Iosivas,WR,CIN,CLE,"$3,700",0.5%
Malik Washington,WR,MIA,IND,"$3,200",0.5%
Julian Hill,TE,MIA,IND,"$2,700",0.4%
Dontayvion Wicks,WR,GB,DET,"$3,400",0.4%
Kayshon Boutte,WR,NE,LV,"$3,800",0.4%
Tyler Lockett,WR,TEN,DEN,"$4,000",0.4%
Darius Slayton,WR,NYG,WAS,"$4,000",0.4%
Alec Pierce,WR,IND,MIA,"$4,400",0.4%
Rachaad White,RB,TB,ATL,"$5,100",0.4%
Troy Franklin,WR,DEN,TEN,"$3,500",0.3%
Michael Wilson,WR,ARI,NO,"$4,200",0.3%
Hunter Renfrow,WR,CAR,JAX,"$3,200",0.3%
Tutu Atwell,WR,LA,HOU,"$3,600",0.3%
Rico Dowdle,RB,CAR,JAX,"$5,000",0.3%
Jayden Higgins,WR,HOU,LA,"$4,800",0.3%
Sterling Shepard,WR,TB,ATL,"$3,100",0.3%
Tyler Allgeier,RB,ATL,TB,"$5,000",0.2%
Brandin Cooks,WR,NO,ARI,"$4,100",0.2%
