Player,Position,Team,Opponent,Salary,% ownership
Christian McCaffrey,RB,SF,@NO,"$7,500",33.5%
Puka Nacua,WR,LAR,@TEN,"$7,600",19.1%
Hollywood Brown,WR,KC,PHI,"$5,200",18.7%
Tee Higgins,WR,CIN,JAX,"$6,100",18.2%
Ja'Marr Chase,WR,CIN,JAX,"$8,100",18.0%
De'Von Achane,RB,MIA,NE,"$6,900",17.7%
Trey McBride,TE,ARI,CAR,"$6,000",17.3%
Kyren Williams,RB,LAR,@TEN,"$6,300",16.7%
Chase Brown,RB,CIN,JAX,"$6,800",16.6%
Jahmyr Gibbs,RB,DET,CHI,"$7,400",15.3%
Alvin Kamara,RB,NO,SF,"$6,100",14.2%
Malik Nabers,WR,NYG,@DAL,"$7,100",13.9%
Jaxon Smith-Njigba,WR,SEA,@PIT,"$6,000",13.3%
Zay Flowers,WR,BAL,CLE,"$6,200",12.8%
Travis Kelce,TE,KC,PHI,"$5,000",12.6%
CeeDee Lamb,WR,DAL,NYG,"$7,800",12.6%
Brian Thomas Jr.,WR,JAX,@CIN,"$6,700",12.5%
Jonathan Taylor,RB,IND,DEN,"$6,700",12.0%
Tony Pollard,RB,TEN,LAR,"$5,900",10.7%
Lamar Jackson,QB,BAL,CLE,"$7,000",10.6%
Joe Burrow,QB,CIN,JAX,"$6,600",10.4%
Tetairoa McMillan,WR,CAR,@ARI,"$5,400",10.4%
James Conner,RB,ARI,CAR,"$6,600",10.3%
DK Metcalf,WR,PIT,SEA,"$5,900",10.1%
Harold Fannin Jr.,TE,CLE,@BAL,"$3,100",9.9%
Javonte Williams,RB,DAL,NYG,"$5,800",9.8%
Calvin Ridley,WR,TEN,LAR,"$4,900",9.6%
DJ Moore,WR,CHI,@DET,"$5,600",8.9%
Ricky Pearsall,WR,SF,@NO,"$5,300",8.8%
Derrick Henry,RB,BAL,CLE,"$8,200",8.7%
Tyreek Hill,WR,MIA,NE,"$6,400",8.6%
Garrett Wilson,WR,NYJ,BUF,"$6,500",8.5%
Davante Adams,WR,LAR,@TEN,"$5,900",8.4%
