"Rank","Player","ATT","YDS","Y/A","LG","20+","RUSHTD","REC","TGT","YDS","Y/R","RECTD","FL","G","FPTS","FPTS/G","ROST"
"46","Zach Charbonnet (SEA)","2","5","2.5","3","0","0","2","2","14","7.0","0","0","1","3.9","3.9","42.5%"
"47","Dameon Pierce (HOU)","13","34","2.6","8","0","0","0","0","0","0","0","0","1","3.4","3.4","94.7%"
"48","Raheem Blackshear (CAR)","5","18","3.6","9","0","0","1","1","4","4.0","0","0","1","3.2","3.2","0.7%"
"49","Zamir White (LV)","2","2","1.0","1","0","0","2","2","7","3.5","0","0","1","2.9","2.9","2.0%"
"50","Chris Brooks (MIA)","6","28","4.7","28","1","0","0","0","0","0","0","0","1","2.8","2.8","1.0%"
"51","Kenneth Gainwell (PHI)","2","13","6.5","12","0","0","1","2","4","4.0","0","0","1","2.7","2.7","35.7%"
"52","Emari Demercado (ARI)","2","11","5.5","6","0","0","1","1","6","6.0","0","0","1","2.7","2.7","57.4%"
"53","Boston Scott (PHI)","2","2","1.0","9","0","0","1","1","14","14.0","0","0","1","2.6","2.6","0.3%"
"54","Clyde Edwards-Helaire (KC)","2","7","3.5","7","0","0","1","1","9","9.0","0","0","1","2.6","2.6","8.9%"
"55","Cam Akers (MIN)","1","8","8.0","8","0","0","1","1","7","7.0","0","0","1","2.5","2.5","65.4%"
"56","Dalvin Cook (NYJ)","3","12","4.0","8","0","0","1","1","2","2.0","0","0","1","2.4","2.4","57.3%"
"57","Ronnie Rivers (LAR)","3","9","3.0","6","0","0","1","1","4","4.0","0","0","1","2.3","2.3","2.0%"
"58","Trayveon Williams (CIN)","0","0","0","0","0","0","2","2","3","1.5","0","0","1","2.3","2.3","0.8%"
"59","Chris Rodriguez Jr. (WAS)","4","23","5.8","13","0","0","0","0","0","0","0","0","1","2.3","2.3","0.2%"
"60","Devine Ozigbo (DET)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","1","2.3","2.3","0.0%"
"61","Chase Brown (CIN)","1","4","4.0","4","0","0","1","1","8","8.0","0","0","1","2.2","2.2","0.8%"
"62","Kendre Miller (NO)","2","-1","-0.5","3","0","0","1","2","13","13.0","0","0","1","2.2","2.2","12.2%"
"63","Ty Montgomery II (NE)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.9","1.9","0.2%"
"64","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","1.9","1.9","0.3%"
"65","D'Ernest Johnson (JAC)","1","19","19.0","19","0","0","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"66","Tank Bigsby (JAC)","3","2","0.7","3","0","0","1","1","6","6.0","0","0","1","1.8","1.8","13.5%"
"67","Samaje Perine (DEN)","0","0","0","0","0","0","2","2","16","8.0","0","1","1","1.6","1.6","46.0%"
"68","Cordarrelle Patterson (ATL)","1","0","0.0","0","0","0","1","1","6","6.0","0","0","1","1.6","1.6","3.5%"
"69","Joshua Kelley (LAC)","1","2","2.0","2","0","0","1","2","2","2.0","0","0","1","1.4","1.4","29.2%"
"70","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","1.3","1.3","0.1%"
"71","Matt Breida (NYG)","4","13","3.3","6","0","0","0","1","0","0","0","0","1","1.3","1.3","16.7%"
"72","Rico Dowdle (DAL)","3","12","4.0","7","0","0","0","0","0","0","0","0","1","1.2","1.2","5.6%"
"73","Mike Boone (HOU)","1","11","11.0","11","0","0","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"74","Khari Blasingame (CHI)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","1.1","1.1","0.1%"
"75","Zach Evans (LAR)","4","10","2.5","3","0","0","0","0","0","0","0","0","1","1.0","1.0","1.1%"
"76","DeeJay Dallas (SEA)","0","0","0","0","0","0","1","1","-1","-1.0","0","0","1","0.9","0.9","0.3%"
"77","Ke'Shawn Vaughn (TB)","6","9","1.5","7","0","0","0","2","0","0","0","0","1","0.9","0.9","0.5%"
"78","Michael Carter (NYJ)","1","5","5.0","5","0","0","0","1","0","0","0","0","1","0.5","0.5","1.5%"
"79","Eric Gray (NYG)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.2%"
"80","Isaiah Spiller (LAC)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.4%"
"81","Michael Burton (DEN)","2","2","1.0","3","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"82","Damien Harris (BUF)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","16.0%"
"83","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
