Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
9,21,Denver,9.6,8.1,7.3,9.2,10.4,10.4
9,22,Pittsburgh,9.6,10.1,7.6,8.9,10.8,9.4
9,23,Las Vegas,9.5,9.4,7.7,10.6,8.7,11
9,24,Dallas,9.5,10.5,10.6,8.9,10.1,10.5
9,25,Cleveland,9.4,11.4,14.4,8.2,11.2,10.3
9,26,Washington,9.1,9.4,9.9,9,9.2,10.1
9,27,NY Jets,9.1,9.5,11.4,8,10.8,10.4
9,28,New England,8.9,8.6,7.4,8.3,9.7,9.9
9,29,Arizona,8.6,7.8,7.2,9.5,7.9,8.4
9,30,Cincinnati,7.9,8.2,9.5,8.1,7.7,10
9,31,Carolina,7.9,8.6,8.2,6.8,8.7,11.2
9,32,NY Giants,7.6,8.9,-1.5,6.5,8.4,9.2
