"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"271","Allen Robinson II (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"272","Willie Snead IV (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Julio Jones (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"284","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Trent Taylor (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"288","Tim Patrick (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"289","JuJu Smith-Schuster (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.2%"
"290","Zay Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.2%"
"291","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Keelan Cole Sr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Jamal Agnew (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"294","David Moore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Mike Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.5%"
"296","Equanimeous St. Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"297","Marquez Valdes-Scantling (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.2%"
"298","Daurice Fountain (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Tre'Quan Smith (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Cedrick Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"301","Richie James Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"302","Justin Watson (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"303","Keith Kirkwood (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"304","Trent Sherfield (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"305","Russell Gage (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"306","Byron Pringle (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"307","Zach Pascal (ARI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"308","River Cracraft (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"309","Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Ty Montgomery II (NE)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"311","Jamison Crowder (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"312","Phillip Dorsett II (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","DeAndre Carter (LV)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"314","Chris Conley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Jakeem Grant Sr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Demarcus Robinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"317","Sterling Shepard (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"318","Laquon Treadwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Robbie Chosen (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"320","Alex Erickson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Kyle Philips (TEN)","1","2","6","6.0","6","0","0","0","0","0","1","1","-0.4","-0.4","0.1%"
"322","Austin Trammell (LAR)","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
"323","Jalen Tolbert (DAL)","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.2%"
