"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"67","Odell Beckham Jr. (BAL)","2","4","34","17.0","32","2","0","0","0","0","0","1","5.4","5.4","40.6%"
"68","Jalin Hyatt (NYG)","3","4","21","7.0","12","0","0","0","0","0","0","1","5.1","5.1","3.6%"
"69","Davante Adams (LV)","2","5","29","14.5","21","1","0","0","0","0","0","1","4.9","4.9","100.0%"
"70","Brandon Powell (MIN)","3","4","20","6.7","9","0","0","1","-1","0","0","1","4.9","4.9","2.4%"
"71","Laviska Shenault Jr. (CAR)","3","3","15","5.0","8","0","0","1","2","0","0","1","4.7","4.7","0.2%"
"72","Jauan Jennings (SF)","2","4","26","13.0","17","0","0","0","0","0","0","1","4.6","4.6","0.4%"
"73","Jerry Jeudy (DEN)","3","5","14","4.7","13","0","0","0","0","0","0","1","4.4","4.4","82.4%"
"74","Isaiah McKenzie (IND)","2","2","23","11.5","12","0","0","0","0","0","0","1","4.3","4.3","0.1%"
"75","Skyy Moore (KC)","2","4","22","11.0","12","0","0","0","0","0","0","1","4.2","4.2","39.1%"
"76","Jonathan Mingo (CAR)","2","3","21","10.5","11","0","0","0","0","0","0","1","4.1","4.1","10.2%"
"77","Tee Higgins (CIN)","2","4","20","10.0","11","0","0","0","0","0","0","1","4.0","4.0","96.6%"
"78","Braxton Berrios (MIA)","2","2","20","10.0","10","0","0","0","0","0","0","1","4.0","4.0","4.9%"
"79","Tutu Atwell (LAR)","1","1","30","30.0","30","2","0","0","0","0","0","1","4.0","4.0","57.8%"
"80","Ray-Ray McCloud III (SF)","1","2","4","4.0","4","0","0","2","23","0","0","1","3.7","3.7","0.6%"
"81","Rashod Bateman (BAL)","2","3","15","7.5","8","0","0","0","0","0","0","1","3.5","3.5","15.5%"
"82","Marquise Goodwin (CLE)","1","2","4","4.0","4","0","0","1","20","0","0","1","3.4","3.4","0.1%"
"83","Tyler Scott (CHI)","2","4","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","0.1%"
"84","Gabe Davis (BUF)","3","4","21","7.0","9","0","0","0","0","0","1","1","3.1","3.1","87.0%"
"85","DeAndre Hopkins (TEN)","1","5","20","20.0","20","1","0","0","0","0","0","1","3.0","3.0","95.2%"
"86","Velus Jones Jr. (CHI)","1","1","5","5.0","5","0","0","2","15","0","0","1","3.0","3.0","0.1%"
"87","Deven Thompkins (TB)","2","4","-2","-1.0","0","0","0","1","5","0","0","1","2.3","2.3","0.4%"
