"Rank","Player","CMP","ATT","PCT","YDS","Y/A","PASSTD","INT","SACKS","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"47","Ben DiNucci (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"51","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"52","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"55","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.0%"
"57","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"59","Nathan Rourke (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Malik Cunningham (NE)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.7%"
"62","Holton Ahlers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"64","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"65","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"66","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.3%"
"70","Brett Rypien (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"72","Blaine Gabbert (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"73","Andy Dalton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"74","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"84","Logan Woodside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Mitch Trubisky (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"86","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.0%"
"87","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Sam Darnold (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"89","Will Grier (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Daniel Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.8%"
"93","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Trace McSorley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Tim Boyle (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Kyle Allen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"98","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Jameis Winston (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"100","Teddy Bridgewater (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","AJ McCarron (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Marcus Mariota (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"104","Jeff Driskel (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Jacoby Brissett (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"106","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Taylor Heinicke (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"109","Trevor Siemian (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"110","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","3","-2","0","0","1","-0.2","-0.2","0.0%"
"111","Mike White (MIA)","0","1","0.0","0","0.0","0","1","0","3","-4","0","0","1","-1.4","-1.4","0.2%"
""
""
