full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Aaron Jones,GB,RB,7,5,5,0.15625,3,3,22,0,0,NA,0,0,15,0.06787330317,3,0.2662613122,1.466666667,9,3
Travis Etienne,JAX,RB,7,5,5,0.1666666667,3,3,24,0,1,0.5,0,0,-19,-0.09947643979,-3.8,0.1636998255,-1.263157895,39,13
Taysom Hill,NO,QB,7,5,5,0.08771929825,4,4,50,0,1,0.125,0,0,43,0.1335403727,8.6,0.2162852784,1.162790698,13,3.25
Marquez Valdes-Scantling,KC,WR,7,5,5,0.1162790698,3,3,84,1,2,0.25,5,1,69,0.2011661808,13.8,0.3036070242,1.217391304,35,11.66666667
D'Onta Foreman,CHI,RB,7,5,5,0.1612903226,3,3,31,1,0,0,5,1,-7,-0.1320754717,-1.4,0.1333536214,-4.428571429,37,12.33333333
Darnell Mooney,CHI,WR,7,5,5,0.1612903226,4,4,32,0,2,1,0,0,29,0.5471698113,5.8,0.6088253195,1.103448276,6,1.5
DeVonta Smith,PHI,WR,7,5,5,0.1470588235,4,4,49,0,0,0,0,0,54,0.2368421053,10.8,0.3716718266,0.9074074074,12,3
Dallas Goedert,PHI,TE,7,5,5,0.1470588235,5,5,77,1,0,0,0,0,22,0.09649122807,4.4,0.2734262126,3.5,55,11
Jalin Hyatt,NYG,WR,7,5,5,0.1515151515,2,2,75,0,2,0.2857142857,0,0,168,0.5283018868,33.6,0.5819325329,0.4464285714,2,1
Trey McBride,ARI,TE,8,14,14,0.35,10,10,95,1,3,0.4285714286,0,0,117,0.4448669202,8.357142857,0.8014068441,0.811965812,26,2.6
