full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Alec Pierce,IND,WR,12,6,6,0.1395348837,4,4,27,0,0,0,0,0,58,0.2348178138,9.666666667,0.3597213068,0.4655172414,3,0.75
Jahan Dotson,WAS,WR,12,6,6,0.125,5,5,52,1,0,0,0,0,50,0.1420454545,8.333333333,0.2744318182,1.04,8,1.6
Tony Pollard,DAL,RB,12,6,6,0.1818181818,6,6,24,0,0,0,0,0,1,0.002127659574,0.1666666667,0.2560348162,24,23,3.833333333
Odell Beckham,BAL,WR,12,5,5,0.1470588235,3,3,34,0,0,0,0,0,56,0.3294117647,11.2,0.4364705882,0.6071428571,11,3.666666667
Jalen Guyton,LAC,WR,12,5,5,0.1063829787,1,1,4,0,1,0.2,0,0,73,0.244966443,14.6,0.3204126803,0.05479452055,3,3
Rashod Bateman,BAL,WR,12,5,5,0.1470588235,2,2,21,0,0,0,0,0,47,0.2764705882,9.4,0.3994117647,0.4468085106,6,3
Khalil Shakir,BUF,WR,12,5,5,0.09615384615,3,3,47,0,1,0.5,0,0,37,0.0900243309,7.4,0.1976324162,1.27027027,10,3.333333333
Latavius Murray,BUF,RB,12,5,5,0.09615384615,3,3,18,0,1,0.5,0,0,10,0.02433090024,2,0.1516470148,1.8,9,3
DeAndre Hopkins,TEN,WR,12,5,5,0.1724137931,3,3,49,0,3,0.6,0,0,68,0.2931034483,13.6,0.4465517241,0.7205882353,11,3.666666667
Nick Westbrook-Ikhine,TEN,WR,12,5,5,0.1724137931,4,4,41,0,2,0.4,0,0,48,0.2068965517,9.6,0.3862068966,0.8541666667,0,0
Chigoziem Okonkwo,TEN,TE,12,5,5,0.1724137931,4,4,45,0,0,0,0,0,33,0.1422413793,6.6,0.3409482759,1.363636364,18,4.5
Chuba Hubbard,CAR,RB,12,5,5,0.1428571429,5,5,47,0,3,0.2142857143,0,0,4,0.02010050251,0.8,0.2140703518,11.75,43,8.6
Roschon Johnson,CHI,RB,12,5,5,0.125,5,5,40,0,0,0,0,0,-7,-0.07,-1.4,0.126,-5.714285714,47,9.4
Cedric Tillman,CLE,WR,12,5,5,0.1063829787,4,4,55,0,1,0.25,0,0,41,0.1344262295,8.2,0.2430345309,1.341463415,16,4
Kalif Raymond,DET,WR,12,5,5,0.1041666667,5,5,90,0,0,0,0,0,52,0.1635220126,10.4,0.2602987421,1.730769231,38,7.6
Luke Farrell,JAX,TE,12,5,5,0.1282051282,3,3,55,0,1,0.1428571429,0,0,24,0.07453416149,4.8,0.2316610925,2.291666667,43,14.33333333
Isiah Pacheco,KC,RB,12,5,5,0.1428571429,5,5,34,0,1,0.25,0,0,-23,-0.1377245509,-4.6,0.1035928144,-1.47826087,57,11.4
Cooper Kupp,LA,WR,12,5,5,0.1515151515,3,3,18,0,0,NA,0,0,30,0.15625,6,0.3214962121,0.6,12,4
Tyler Higbee,LA,TE,12,5,5,0.1515151515,5,5,29,2,0,NA,0,0,16,0.08333333333,3.2,0.2704545455,1.8125,13,2.6
James Conner,ARI,RB,12,5,5,0.1,4,4,5,0,1,0.125,0,0,8,0.0207253886,1.6,0.154507772,0.625,15,3.75
Tyler Conklin,NYJ,TE,12,5,5,0.1111111111,4,4,33,0,1,0.1666666667,0,0,13,0.07738095238,2.6,0.2097222222,2.538461538,24,6
Wan'Dale Robinson,NYG,WR,12,5,5,0.1612903226,4,4,26,0,1,0.2,0,0,13,0.06565656566,2.6,0.2717660476,2,16,4
DeVante Parker,NE,WR,12,5,5,0.1351351351,3,3,42,0,1,0.1666666667,0,0,21,0.168,4.2,0.3067891892,2,36,12
Rhamondre Stevenson,NE,RB,12,5,5,0.1351351351,5,5,9,0,1,0.1666666667,0,0,-9,-0.072,-1.8,0.1387891892,-1,18,3.6
Tyquan Thornton,NE,WR,12,5,5,0.1351351351,2,2,19,0,0,0,0,0,11,0.088,2.2,0.2507891892,1.727272727,19,9.5
Rashid Shaheed,NO,WR,12,5,5,0.1282051282,2,2,9,1,0,0,0,0,20,0.06079027356,4,0.222040371,0.45,4,2
Alvin Kamara,NO,RB,12,5,5,0.1282051282,4,4,50,0,0,0,0,0,14,0.04255319149,2.8,0.2092744135,3.571428571,52,13
George Pickens,PIT,WR,12,5,5,0.1428571429,3,3,58,0,0,0,0,0,81,0.2903225806,16.2,0.4032258065,0.7160493827,15,5
Tyler Boyd,CIN,WR,12,5,5,0.1666666667,3,3,23,0,0,0,0,0,24,0.1818181818,4.8,0.3606060606,0.9583333333,3,1
George Kittle,SF,TE,12,5,5,0.15625,3,3,19,0,0,0,0,0,55,0.1971326165,11,0.3567428315,0.3454545455,11,3.666666667
Tyler Lockett,SEA,WR,12,5,5,0.1515151515,3,3,30,0,1,0.125,0,0,58,0.2,11.6,0.3521212121,0.5172413793,2,0.6666666667
Trey Palmer,TB,WR,12,5,5,0.1351351351,4,4,17,0,0,0,0,0,28,0.1359223301,5.6,0.2843348203,0.6071428571,4,1
Brandin Cooks,DAL,WR,12,5,5,0.1515151515,4,4,72,1,1,0.25,0,0,77,0.1638297872,15.4,0.3268020632,0.9350649351,5,1.25
