"full_name","posteam","position","games","carries","carries_pg","pct_team_carries","rush_yards_pg","rush_yards_pc","rush_tds","exp_rush_yards_pc","ryoe_pc","rush_epa_pp","broken_tackles","broken_tackles_rate","ybc_pc","yac_pc","rz_carries","pct_team_rz_carries","i10_carries","pct_team_i10_carries","i5_carries","pct_team_i5_carries","opps","opps_pg","hvts","hvts_pg","hvt_pct"
"Jalen Hurts","PHI","QB",1,11,11,0.323529411764706,21,1.90909090909091,1,0,1.90909090909091,0.150701471132342,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0
"Jerome Ford","CLE","RB",1,11,11,0.323529411764706,74,6.72727272727273,1,4.38362394765473,2.343648779618,0.0471639358226887,0,0,0,0,2,0.666666666666667,2,1,1,1,15,15,6,6,0.4
"Josh Jacobs","LV","RB",1,11,11,0.785714285714286,35,3.18181818181818,0,5.15195124914675,-1.97013306732856,-0.193947463560934,0,0,0,0,0,0,0,0,0,0,15,15,4,4,0.266666666666667
"Cam Akers","MIN","RB",1,10,10,0.476190476190476,31,3.1,0,3.80703084107215,-0.707030841072154,-0.131626051176456,0,0,0,0,0,0,0,0,0,0,13,13,3,3,0.230769230769231
"Cordarrelle Patterson","ATL","RB",1,10,10,0.263157894736842,56,5.6,0,4.80815750835761,0.791842491642388,-0.0746325991058256,0,0,0,0,1,0.333333333333333,0,0,0,0,10,10,0,0,0
"Kareem Hunt","CLE","RB",1,10,10,0.294117647058824,31,3.1,2,4.48502728601074,-1.38502728601074,0.192574719473487,0,0,0,0,1,0.333333333333333,0,0,0,0,11,11,1,1,0.0909090909090909
"Lamar Jackson","BAL","QB",1,9,9,0.333333333333333,36,4,1,0,4,-0.14036043950667,0,0,0,0,2,0.333333333333333,0,0,0,0,9,9,0,0,0
"Pierre Strong","CLE","RB",1,9,9,0.264705882352941,25,2.77777777777778,0,0,2.77777777777778,-0.333090528200639,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0
"Raheem Mostert","MIA","RB",1,9,9,0.75,45,5,0,0,5,-0.00511027698586177,0,0,0,0,0,0,0,0,0,0,12,12,3,3,0.25
"Rhamondre Stevenson","NE","RB",1,9,9,0.36,34,3.77777777777778,0,0,3.77777777777778,-0.246280454516117,0,0,0,0,0,0,0,0,0,0,15,15,6,6,0.4
"Aaron Jones","GB","RB",1,8,8,0.275862068965517,35,4.375,0,0,4.375,-0.00965213337622117,0,0,0,0,0,0,0,0,0,0,13,13,5,5,0.384615384615385
"Alexander Mattison","MIN","RB",1,8,8,0.380952380952381,39,4.875,0,0,4.875,-0.117117832938675,0,0,0,0,1,0.5,0,0,0,0,11,11,3,3,0.272727272727273
"Brian Robinson","WAS","RB",1,8,8,0.421052631578947,23,2.875,1,0,2.875,-0.0879788571910467,0,0,0,0,1,1,0,0,0,0,9,9,1,1,0.111111111111111
"Kenneth Gainwell","PHI","RB",1,8,8,0.235294117647059,16,2,1,0,2,-0.352324850387959,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
"Kenny Pickett","PIT","QB",1,8,8,0.275862068965517,0,0,1,0,0,0.0502548900258262,0,0,0,0,1,0.333333333333333,0,0,0,0,8,8,0,0,0
"Trevor Lawrence","JAX","QB",1,8,8,0.307692307692308,59,7.375,0,0,7.375,0.506814661493991,0,0,6.75,0.625,3,1,3,1,2,1,8,8,3,3,0.375
"Tyrod Taylor","NYG","QB",1,8,8,0.25,25,3.125,0,0,3.125,0.0142100210141507,0,0,0,0,4,0.444444444444444,3,1,1,1,8,8,3,3,0.375
"Chris Rodriguez","WAS","RB",1,7,7,0.368421052631579,31,4.42857142857143,0,0,4.42857142857143,-0.149953480942973,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
"Josh Allen","BUF","QB",1,7,7,0.291666666666667,17,2.42857142857143,1,0,2.42857142857143,0.643209414178273,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
"Joshua Dobbs","ARI","QB",1,7,7,0.28,43,6.14285714285714,1,0,6.14285714285714,0.338909617317508,0,0,0,0,2,0.333333333333333,1,0.5,0,0,7,7,1,1,0.142857142857143
"Joshua Kelley","LAC","RB",1,7,7,0.269230769230769,75,10.7142857142857,1,0,10.7142857142857,0.524983010703831,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
"Desmond Ridder","ATL","QB",1,6,6,0.157894736842105,38,6.33333333333333,1,0,6.33333333333333,-1.1199744088614,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
"Geno Smith","SEA","QB",1,6,6,0.1875,10,1.66666666666667,0,0,1.66666666666667,-0.716631833987776,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
"Jaylen Warren","PIT","RB",1,6,6,0.206896551724138,32,5.33333333333333,1,0,5.33333333333333,0.181291736934024,0,0,0,0,0,0,0,0,0,0,8,8,2,2,0.25
"Brock Purdy","SF","QB",1,5,5,0.227272727272727,19,3.8,0,0,3.8,0.348750874842517,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
"Jaleel McLaughlin","DEN","RB",1,5,5,0.2,45,9,0,0,9,0.550138274976052,0,0,0,0,2,0.5,0,0,0,0,7,7,2,2,0.285714285714286
"Jamaal Williams","NO","RB",1,5,5,0.161290322580645,14,2.8,0,0,2.8,-0.32928756918991,0,0,2.2,0.6,1,0.5,0,0,0,0,5,5,0,0,0
"Taysom Hill","NO","QB",1,5,5,0.161290322580645,18,3.6,1,0,3.6,0.725016309239436,0,0,2.6,1,0,0,0,0,0,0,10,10,5,5,0.5
