RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
65,Shane Zylstra,DET,TE,1,GB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
66,Brock Wright,DET,TE,1,GB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
67,Ian Thomas,LV,TE,1,NE,0,0,,0,0,0,,,0,0,,0,0,0,0.0
68,Robert Tonyan,KC,TE,1,LAC,0,0,,0,0,0,,,0,0,,0,0,0,0.0
69,Jack Westover,NE,TE,1,LV,0,0,,0,0,0,,,0,0,,0,0,0,0.0
70,Payne Durham,TB,TE,1,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
71,Ko Kieft,TB,TE,1,ATL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
72,Colson Yankoff,WAS,TE,1,NYG,0,0,,0,0,0,,,0,0,,0,0,0,0.0
73,Feleipe Franks,ATL,TE,1,TB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
74,Ben Sinnott,WAS,TE,1,NYG,0,0,,0,0,0,,,0,0,,0,0,0,0.0
75,Charlie Woerner,ATL,TE,1,TB,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
76,John Bates,WAS,TE,1,NYG,0,0,,0,0,0,,,0,0,,0,0,0,0.0
77,Chris Manhertz,NYG,TE,1,WAS,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
78,Cade Otton,TB,TE,1,ATL,3,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
79,Teagan Quitoriano,ATL,TE,1,TB,0,0,,0,0,0,,,0,0,,0,0,0,0.0
80,Johnny Mundt,JAX,TE,1,CAR,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
81,Tyler Higbee,LAR,TE,1,HOU,0,0,,0,0,0,,,0,0,,0,0,0,0.0
82,Mitchell Evans,CAR,TE,1,JAX,0,0,,0,0,0,,,0,0,,0,0,0,0.0
