Team,Week,Opponent,Home/Away
HOU,5,BAL,Away
HOU,6,BYE,Home
HOU,7,SEA,Away
HOU,8,SF,Home
HOU,9,DEN,Home
HOU,10,JAC,Home
HOU,11,TEN,Away
HOU,12,BUF,Home
HOU,13,IND,Away
HOU,14,KC,Away
HOU,15,ARI,Home
HOU,16,LV,Home
HOU,17,LAC,Away
HOU,18,IND,Home
IND,1,MIA,Home
IND,2,DEN,Home
IND,3,TEN,Away
IND,4,LAR,Away
IND,5,LV,Home
IND,6,ARI,Home
IND,7,LAC,Away
IND,8,TEN,Home
IND,9,PIT,Away
IND,10,ATL,Home
IND,11,BYE,Home
IND,12,KC,Away
IND,13,HOU,Home
IND,14,JAC,Away
IND,15,SEA,Away
IND,16,SF,Home
IND,17,JAC,Home
IND,18,HOU,Away
JAC,1,CAR,Home
JAC,2,CIN,Away
JAC,3,HOU,Home
JAC,4,SF,Away
JAC,5,KC,Home
JAC,6,SEA,Home
JAC,7,LAR,Home
JAC,8,BYE,Home
JAC,9,LV,Away
JAC,10,HOU,Away
JAC,11,LAC,Home
JAC,12,ARI,Away
JAC,13,TEN,Away
JAC,14,IND,Home
JAC,15,NYJ,Home
JAC,16,DEN,Away
JAC,17,IND,Away
JAC,18,TEN,Home
KC,1,LAC,Away
KC,2,PHI,Home
KC,3,NYG,Away
KC,4,BAL,Home
KC,5,JAC,Away
KC,6,DET,Home
KC,7,LV,Home
KC,8,WAS,Home
KC,9,BUF,Away
KC,10,BYE,Home
KC,11,DEN,Away
KC,12,IND,Home
KC,13,DAL,Away
KC,14,HOU,Home
KC,15,LAC,Home
KC,16,TEN,Away
KC,17,DEN,Home
KC,18,LV,Away
LAC,1,KC,Home
LAC,2,LV,Away
LAC,3,DEN,Home
LAC,4,NYG,Away
LAC,5,WAS,Home
LAC,6,MIA,Away
LAC,7,IND,Home
LAC,8,MIN,Home
LAC,9,TEN,Away
LAC,10,PIT,Home
LAC,11,JAC,Away
LAC,12,BYE,Home
LAC,13,LV,Home
LAC,14,PHI,Home
LAC,15,KC,Away
LAC,16,DAL,Away
LAC,17,HOU,Home
LAC,18,DEN,Away
LAR,1,HOU,Home
LAR,2,TEN,Away
LAR,3,PHI,Away
LAR,4,IND,Home
LAR,5,SF,Home
LAR,6,BAL,Away
LAR,7,JAC,Away
LAR,8,BYE,Home
LAR,9,NO,Home
LAR,10,SF,Away
LAR,11,SEA,Home
LAR,12,TB,Home
LAR,13,CAR,Away
LAR,14,ARI,Away
LAR,15,DET,Home
LAR,16,SEA,Away
LAR,17,ATL,Away
LAR,18,ARI,Home
LV,1,NE,Away
LV,2,LAC,Home
LV,3,WAS,Away
LV,4,CHI,Home
LV,5,IND,Away
LV,6,TEN,Home
LV,7,KC,Away
LV,8,BYE,Home
LV,9,JAC,Home
LV,10,DEN,Away
LV,11,DAL,Home
LV,12,CLE,Home
LV,13,LAC,Away
