Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18
ARI,@NO,CAR,@SF,SEA,TEN,@IND,GB,BYE,@DAL,@SEA,SF,JAC,@TB,LAR,@HOU,ATL,@CIN,@LAR
ATL,TB,@MIN,@CAR,WAS,BYE,BUF,@SF,MIA,@NE,@IND,CAR,@NO,@NYJ,SEA,@TB,@ARI,LAR,NO
BAL,@BUF,CLE,DET,@KC,HOU,LAR,BYE,CHI,@MIA,@MIN,@CLE,NYJ,CIN,PIT,@CIN,NE,@GB,@PIT
BUF,BAL,@NYJ,MIA,NO,NE,@ATL,BYE,@CAR,KC,@MIA,TB,@HOU,@PIT,CIN,@NE,@CLE,PHI,NYJ
CAR,@JAC,@ARI,ATL,@NE,MIA,DAL,@NYJ,BUF,@GB,NO,@ATL,@SF,LAR,BYE,@NO,TB,SEA,@TB
CHI,MIN,@DET,DAL,@LV,BYE,@WAS,NO,@BAL,@CIN,NYG,@MIN,PIT,@PHI,@GB,CLE,GB,@SF,DET
CIN,@CLE,JAC,@MIN,@DEN,DET,@GB,PIT,NYJ,CHI,BYE,@PIT,NE,@BAL,@BUF,BAL,@MIA,ARI,CLE
CLE,CIN,@BAL,GB,@DET,MIN,@PIT,MIA,@NE,BYE,@NYJ,BAL,@LV,SF,TEN,@CHI,BUF,PIT,@CIN
DAL,@PHI,NYG,@CHI,GB,@NYJ,@CAR,WAS,@DEN,ARI,BYE,@LV,PHI,KC,@DET,MIN,LAC,@WAS,@NYG
DEN,TEN,@IND,@LAC,CIN,@PHI,@NYJ,NYG,DAL,@HOU,LV,KC,BYE,@WAS,@LV,GB,JAC,@KC,LAC
DET,@GB,CHI,@BAL,CLE,@CIN,@KC,TB,BYE,MIN,@WAS,@PHI,NYG,GB,DAL,@LAR,PIT,@MIN,@CHI
GB,DET,WAS,@CLE,@DAL,BYE,CIN,@ARI,@PIT,CAR,PHI,@NYG,MIN,@DET,CHI,@DEN,@CHI,BAL,@MIN
HOU,@LAR,TB,@JAC,TEN,@BAL,BYE,@SEA,SF,DEN,JAC,@TEN,BUF,@IND,@KC,ARI,LV,@LAC,IND
IND,MIA,DEN,@TEN,@LAR,LV,ARI,@LAC,TEN,@PIT,ATL,BYE,@KC,HOU,@JAC,@SEA,SF,JAC,@HOU
JAC,CAR,@CIN,HOU,@SF,KC,SEA,LAR,BYE,@LV,@HOU,LAC,@ARI,@TEN,IND,NYJ,@DEN,@IND,TEN
KC,@LAC,PHI,@NYG,BAL,@JAC,DET,LV,WAS,@BUF,BYE,@DEN,IND,@DAL,HOU,LAC,@TEN,DEN,@LV
LAC,KC,@LV,DEN,@NYG,WAS,@MIA,IND,MIN,@TEN,PIT,@JAC,BYE,LV,PHI,@KC,@DAL,HOU,@DEN
LAR,HOU,@TEN,@PHI,IND,SF,@BAL,@JAC,BYE,NO,@SF,SEA,TB,@CAR,@ARI,DET,@SEA,@ATL,ARI
LV,@NE,LAC,@WAS,CHI,@IND,TEN,@KC,BYE,JAC,@DEN,DAL,CLE,@LAC,DEN,@PHI,@HOU,NYG,KC
MIA,@IND,NE,@BUF,NYJ,@CAR,LAC,@CLE,@ATL,BAL,BUF,WAS,BYE,NO,@NYJ,@PIT,CIN,TB,@NE
MIN,@CHI,ATL,CIN,@PIT,@CLE,BYE,PHI,@LAC,@DET,BAL,CHI,@GB,@SEA,WAS,@DAL,@NYG,DET,GB
NE,LV,@MIA,PIT,CAR,@BUF,@NO,@TEN,CLE,ATL,@TB,NYJ,@CIN,NYG,BYE,BUF,@BAL,@NYJ,MIA
NO,ARI,SF,@SEA,@BUF,NYG,NE,@CHI,TB,@LAR,@CAR,BYE,ATL,@MIA,@TB,CAR,NYJ,@TEN,@ATL
NYG,@WAS,@DAL,KC,LAC,@NO,PHI,@DEN,@PHI,SF,@CHI,GB,@DET,@NE,BYE,WAS,MIN,@LV,DAL
NYJ,PIT,BUF,@TB,@MIA,DAL,DEN,CAR,@CIN,BYE,CLE,@NE,@BAL,ATL,MIA,@JAC,@NO,NE,@BUF
PHI,DAL,@KC,LAR,@TB,DEN,@NYG,@MIN,NYG,BYE,@GB,DET,@DAL,CHI,@LAC,LV,@WAS,@BUF,WAS
PIT,@NYJ,SEA,@NE,MIN,BYE,CLE,@CIN,GB,IND,@LAC,CIN,@CHI,BUF,@BAL,MIA,@DET,@CLE,BAL
SEA,SF,@PIT,NO,@ARI,TB,@JAC,HOU,BYE,@WAS,ARI,@LAR,@TEN,MIN,@ATL,IND,LAR,@CAR,@SF
SF,@SEA,@NO,ARI,JAC,@LAR,@TB,ATL,@HOU,@NYG,LAR,@ARI,CAR,@CLE,BYE,TEN,@IND,CHI,SEA
TB,@ATL,@HOU,NYJ,PHI,@SEA,SF,@DET,@NO,BYE,NE,@BUF,@LAR,ARI,NO,ATL,@CAR,@MIA,CAR
TEN,@DEN,LAR,IND,@HOU,@ARI,@LV,NE,@IND,LAC,BYE,HOU,SEA,JAC,@CLE,@SF,KC,NO,@JAC
WAS,NYG,@GB,LV,@ATL,@LAC,CHI,@DAL,@KC,SEA,DET,@MIA,BYE,DEN,@MIN,@NYG,PHI,DAL,@PHI
