RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
72,Xavier Hutchinson,HOU,WR,3,JAX,3,3,100.0,16,0,6,5.3,5.3,0,0,,0,0,0,4.6
73,Zay Jones,ARI,WR,3,SF,3,2,66.7,25,0,18,8.3,12.5,0,0,,0,0,0,4.5
74,Chris Moore,WAS,WR,3,LV,2,2,100.0,25,0,13,12.5,12.5,0,0,,0,0,0,4.5
75,Romeo Doubs,GB,WR,3,CLE,2,2,100.0,25,0,16,12.5,12.5,0,0,,0,0,0,4.5
76,Tyrell Shavers,BUF,WR,3,MIA,2,2,100.0,24,0,17,12.0,12.0,0,0,,0,0,0,4.4
77,Devontez Walker,BAL,WR,3,DET,1,1,100.0,34,0,34,34.0,34.0,0,0,,0,0,0,4.4
78,Ryan Flournoy,DAL,WR,3,CHI,3,2,66.7,21,0,11,7.0,10.5,0,0,,0,0,0,4.1
79,Dontayvion Wicks,GB,WR,3,CLE,4,2,50.0,21,0,16,5.2,10.5,0,0,,0,0,0,4.1
80,Ray-Ray McCloud III,ATL,WR,3,CAR,5,2,40.0,20,0,12,4.0,10.0,0,0,,0,0,0,4.0
81,Calvin Ridley,TEN,WR,3,IND,7,1,14.3,27,0,27,3.9,27.0,0,0,,0,0,0,3.7
82,Isaiah Bond,CLE,WR,3,GB,4,2,50.0,16,0,17,4.0,8.0,0,0,,0,0,0,3.6
83,Wan'Dale Robinson,NYG,WR,3,KC,4,1,25.0,26,0,26,6.5,26.0,0,0,,0,0,0,3.6
84,Brycen Tremayne,CAR,WR,3,ATL,2,2,100.0,15,0,8,7.5,7.5,0,0,,0,0,0,3.5
85,Chimere Dike,TEN,WR,3,IND,4,3,75.0,2,0,8,0.5,0.7,2,3,1.5,0,0,0,3.5
86,Jordan Whittington,LAR,WR,3,PHI,3,2,66.7,7,0,9,2.3,3.5,2,7,3.5,0,0,0,3.4
87,Malik Nabers,NYG,WR,3,KC,7,2,28.6,13,0,9,1.9,6.5,0,0,,0,0,0,3.3
88,Zay Flowers,BAL,WR,3,DET,3,2,66.7,13,0,7,4.3,6.5,0,0,,0,0,0,3.3
89,Travis Hunter,JAX,WR,3,HOU,2,1,50.0,21,0,21,10.5,21.0,0,0,,0,0,0,3.1
90,Greg Dortch,ARI,WR,3,SF,2,2,100.0,3,0,2,1.5,1.5,1,5,5.0,0,0,0,2.8
91,Troy Franklin,DEN,WR,3,LAC,4,2,50.0,8,0,7,2.0,4.0,0,0,,0,0,0,2.8
92,Jamari Thrash,CLE,WR,3,GB,3,2,66.7,7,0,4,2.3,3.5,0,0,,0,0,0,2.7
93,Dyami Brown,JAX,WR,3,HOU,3,2,66.7,7,0,6,2.3,3.5,0,0,,0,0,0,2.7
94,DeMario Douglas,NE,WR,3,PIT,5,2,40.0,7,0,8,1.4,3.5,0,0,,0,0,0,2.7
95,Jerry Jeudy,CLE,WR,3,GB,5,1,20.0,17,0,17,3.4,17.0,0,0,,0,0,0,2.7
