Rank,Player,Team,Position,ADP,Projected Points,Notes,Receiver Depth
118,Dalton Kincaid,BUF,TE,115,11.3,,
119,Dallas Goedert,PHI,TE,125.2,12.78,,
120,Malik Willis,MIA,QB,129.5,12.79,,
121,Jordan Mason,MIN,RB,111.8,8.06,,
122,Rachaad White,WAS,RB,102.2,8.41,,
123,Jake Ferguson,DAL,TE,133.5,11.06,,
124,Aaron Jones,MIN,RB,124.2,9.89,,
125,Jonathon Brooks,CAR,RB,94.5,0,,
126,Mark Andrews,BAL,TE,130.7,7.71,,
127,C.J. Stroud,HOU,QB,141.1,13.88,,
128,Romeo Doubs,NE,WR,118.7,11.28,,
129,Tyler Shough,NO,QB,120.6,14.36,,
130,Chris Rodriguez,JAX,RB,135,7.67,,
131,Sam Darnold,SEA,QB,145.3,14.18,,
132,Tyrone Tracy,NYG,RB,129.3,10.72,,
133,Jacory Croskey-Merritt,WAS,RB,122.8,8.25,,
134,Jalen Coker,CAR,WR,128.7,9.9,,
135,Isaiah Likely,NYG,TE,122,5.14,,
136,Daniel Jones,IND,QB,142.7,17.42,,
137,Stefon Diggs,FA,WR,136.3,11.49,,
138,Jayden Higgins,HOU,WR,131.2,7.81,,
139,Rashid Shaheed,SEA,WR,134.7,8.36,,
140,Keaton Mitchell,LAC,RB,137.6,4.26,,
141,Omar Cooper,NYJ,WR,153.3,0,,
142,Woody Marks,HOU,RB,142.3,9.55,,
143,Brenton Strange,JAX,TE,149.9,9.3,,
144,Tyjae Spears,TEN,RB,146.1,8.59,,
145,Jauan Jennings,MIN,WR,157.2,11.07,,
146,Kenyon Sadiq,NYJ,TE,171.1,0,,
147,Oronde Gadsden,LAC,TE,155.5,8.59,,
148,Alvin Kamara,NO,RB,151.9,9.15,,
149,Bryce Young,CAR,QB,153.3,14.06,,
150,Hunter Henry,NE,TE,156.6,9.76,,
151,Denzel Boston,CLE,WR,164.3,0,,
152,Jalen McMillan,TB,WR,142.1,7.48,,
153,Cam Ward,TEN,QB,137.7,10.98,,
154,Isiah Pacheco,DET,RB,150.5,6.72,,
155,T.J. Hockenson,MIN,TE,172.6,7.52,,
156,Chig Okonkwo,WAS,TE,138.8,7.29,,
157,Juwan Johnson,NO,TE,146.3,10.58,,
158,Jalen Nailor,LV,WR,145.7,5.92,,
159,Tre Tucker,LV,WR,148.6,9.51,,
160,Aaron Rodgers,PIT,QB,166.1,13.47,,
161,Tyler Allgeier,ARI,RB,160.5,7.24,,
162,Deebo Samuel,FA,WR,172.3,11.76,,
163,Dylan Sampson,CLE,RB,159,5.84,,
164,Brian Robinson,ATL,RB,175,3.38,,
165,Jonah Coleman,DEN,RB,170.1,0,,
166,Tank Bigsby,PHI,RB,162.6,3.63,,
167,Ryan Flournoy,DAL,WR,155.6,8.14,,
168,Dalton Schultz,HOU,TE,175.2,9.93,,
169,Cade Otton,TB,TE,191.2,8.15,,
170,Adonai Mitchell,NYJ,WR,157.9,5.49,,
171,Jerry Jeudy,CLE,WR,181.1,7.1,,
172,Pat Freiermuth,PIT,TE,194.7,7.28,,
173,Fernando Mendoza,LV,QB,175.6,0,,
174,Calvin Ridley,TEN,WR,191.2,6.76,,
175,De'Zhaun Stribling,SF,WR,180.7,0,,
176,Tre' Harris,LAC,WR,163.7,4.32,,
177,Antonio Williams,WAS,WR,180,0,,
178,Zach Charbonnet,SEA,RB,159.9,10.79,,
179,Ray Davis,BUF,RB,184.6,3.55,,
180,Isaac TeSlaa,DET,WR,173.2,5.42,,
181,Gunnar Helm,TEN,TE,181.4,5.73,,
182,Justice Hill,BAL,RB,205.3,6.52,,
183,Kaytron Allen,WAS,RB,185.3,0,,
184,Ty Johnson,BUF,RB,226.5,5.9,,
185,Sean Tucker,TB,RB,191.9,5.38,,
186,DJ Giddens,IND,RB,224.2,1.92,,
187,Terrance Ferguson,LAR,TE,186.9,4.23,,
188,Greg Dulcich,MIA,TE,164.5,6.98,,
189,Germie Bernard,PIT,WR,198.2,0,,
190,Jaydon Blue,DAL,RB,177.8,4.08,,
191,Travis Hunter,JAX,WR,164.2,9.11,,
192,Emmett Johnson,KC,RB,209.3,0,,
193,Samaje Perine,CIN,RB,226.7,5.19,,
194,Jordan James,SF,RB,198.8,4.5,,
