RK	NAME	TEAM	POS	WK	OPP	TGTS	REC	CATCH%	RECEIVING_YDS	RECEIVING_TD	LONG	YDS/TGT	YDS/REC	RUSHING_ATT	RUSHING_YDS	RUSHING_AVG	RUSHING_TD	FUMBLES	FUMBLES_LOST	FPTS
60	Greg Dulcich	DEN	TE	3	TB	0	0		0	0	0			0	0		0	0	0	0
61	Brenden Bates	NYJ	TE	3	NE	0	0		0	0	0			0	0		0	0	0	0
62	Jaheim Bell	NE	TE	3	NYJ	0	0		0	0	0			0	0		0	0	0	0
63	Juwan Johnson	NO	TE	3	PHI	0	0		0	0	0			0	0		0	0	0	0
64	Grant Calcaterra	PHI	TE	3	NO	0	0		0	0	0			0	0		0	0	0	0
65	Jack Stoll	PHI	TE	3	NO	0	0		0	0	0			0	0		0	0	0	0
66	Drew Ogletree	IND	TE	3	CHI	0	0		0	0	0			0	0		0	0	0	0
67	Mo Alie-Cox	IND	TE	3	CHI	1	0	0	0	0	0	0		0	0		0	0	0	0
68	Gerald Everett	CHI	TE	3	IND	1	0	0	0	0	0	0		0	0		0	0	0	0
69	Marcedes Lewis	CHI	TE	3	IND	0	0		0	0	0			0	0		0	0	0	0
70	Josh Oliver	MIN	TE	3	HOU	1	0	0	0	0	0	0		0	0		0	0	0	0
71	Robert Tonyan	MIN	TE	3	HOU	0	0		0	0	0			0	0		0	0	0	0
72	Cade Stover	HOU	TE	3	MIN	0	0		0	0	0			0	0		0	0	0	0
73	Eric Tomlinson	LAC	TE	3	PIT	0	0		0	0	0			0	0		0	0	0	0
74	Stone Smartt	LAC	TE	3	PIT	0	0		0	0	0			0	0		0	0	0	0
75	Darnell Washington	PIT	TE	3	LAC	0	0		0	0	0			0	0		0	0	0	0
76	Rodney Williams	PIT	TE	3	LAC	0	0		0	0	0			0	0		0	0	0	0
77	Brady Russell	SEA	TE	3	MIA	0	0		0	0	0			0	0		0	0	0	0
78	Blake Whiteheart	CLE	TE	3	NYG	0	0		0	0	0			0	0		0	0	0	0
79	Geoff Swaim	CLE	TE	3	NYG	0	0		0	0	0			0	0		0	0	0	0
80	Chris Manhertz	NYG	TE	3	CLE	0	0		0	0	0			0	0		0	0	0	0
81	Mark Andrews	BAL	TE	3	DAL	1	0	0	0	0	0	0		0	0		0	0	0	0
82	Brevyn Spann-Ford	DAL	TE	3	BAL	0	0		0	0	0			0	0		0	0	0	0
83	Ja'Tavion Sanders	CAR	TE	3	LV	1	0	0	0	0	0	0		0	0		0	0	0	0
84	Feleipe Franks	CAR	TE	3	LV	0	0		0	0	0			0	0		0	0	0	0
85	Harrison Bryant	LV	TE	3	CAR	0	0		0	0	0			0	0		0	0	0	0
86	Ben Sims	GB	TE	3	TEN	0	0		0	0	0			0	0		0	0	0	0
87	Parker Hesse	DET	TE	3	ARI	0	0		0	0	0			0	0		0	0	0	0
88	Tip Reiman	ARI	TE	3	DET	0	0		0	0	0			0	0		0	0	0	0
89	Hunter Long	LAR	TE	3	SF	0	0		0	0	0			0	0		0	0	0	0
90	Nikola Kalinic	LAR	TE	3	SF	0	0		0	0	0			0	0		0	0	0	0
91	Brayden Willis	SF	TE	3	LAR	0	0		0	0	0			0	0		0	0	0	0
92	Jake Tonges	SF	TE	3	LAR	0	0		0	0	0			0	0		0	0	0	0
93	Charlie Woerner	ATL	TE	3	KC	0	0		0	0	0			0	0		0	0	0	0
94	Ross Dwelley	ATL	TE	3	KC	0	0		0	0	0			0	0		0	0	0	0
95	Quintin Morris	BUF	TE	3	JAX	0	0		0	0	0			0	0		0	0	0	0
96	Ben Sinnott	WAS	TE	3	CIN	0	0		0	0	0			0	0		0	0	0	0
97	John Bates	WAS	TE	3	CIN	0	0		0	0	0			0	0		0	0	0	0
98	Drew Sample	CIN	TE	3	WAS	0	0		0	0	0			0	0		0	0	0	0
1	Tucker Kraft	GB	TE	4	MIN	9	6	66.7	53	1	21	5.9	8.8	0	0		0	1	1	17.3
2	Pat Freiermuth	PIT	TE	4	IND	7	5	71.4	57	1	29	8.1	11.4	0	0		0	0	0	16.7
3	Travis Kelce	KC	TE	4	LAC	9	7	77.8	89	0	38	9.9	12.7	0	0		0	0	0	15.9
4	George Kittle	SF	TE	4	NE	4	4	100	45	1	15	11.2	11.2	0	0		0	0	0	14.5
5	Dallas Goedert	PHI	TE	4	TB	8	7	87.5	62	0	18	7.8	8.9	0	0		0	0	0	13.2
6	Jake Ferguson	DAL	TE	4	NYG	7	7	100	49	0	9	7	7	0	0		0	1	0	11.9
7	Cade Otton	TB	TE	4	PHI	9	6	66.7	52	0	16	5.8	8.7	0	0		0	0	0	11.2
8	AJ Barner	SEA	TE	4	DET	2	2	100	27	1	18	13.5	13.5	0	0		0	0	0	10.7
9	Blake Whiteheart	CLE	TE	4	LV	3	3	100	13	1	7	4.3	4.3	0	0		0	0	0	10.3
10	Dalton Kincaid	BUF	TE	4	BAL	7	5	71.4	47	0	25	6.7	9.4	0	0		0	0	0	9.7
11	Austin Hooper	NE	TE	4	SF	2	2	100	13	1	8	6.5	6.5	0	0		0	0	0	9.3
12	Sam LaPorta	DET	TE	4	SEA	4	4	100	53	0	30	13.2	13.2	0	0		0	0	0	9.3
13	Josh Oliver	MIN	TE	4	GB	2	2	100	10	1	8	5	5	0	0		0	0	0	9
14	Drew Ogletree	IND	TE	4	PIT	1	1	100	15	1	15	15	15	0	0		0	0	0	8.5
15	Noah Gray	KC	TE	4	LAC	4	4	100	40	0	29	10	10	0	0		0	0	0	8
16	Colby Parkinson	LAR	TE	4	CHI	7	4	57.1	33	0	11	4.7	8.2	0	0		0	0	0	7.3
17	Zach Ertz	WAS	TE	4	ARI	3	3	100	22	0	13	7.3	7.3	0	0		0	0	0	7.2
18	Erick All Jr.	CIN	TE	4	CAR	4	4	100	28	0	11	7	7	0	0		0	0	0	6.8
19	Dalton Schultz	HOU	TE	4	JAX	5	3	60	34	0	23	6.8	11.3	0	0		0	0	0	6.4
20	Cole Kmet	CHI	TE	4	LAR	3	3	100	34	0	22	11.3	11.3	0	0		0	0	0	6.4
21	Tyler Conklin	NYJ	TE	4	DEN	8	4	50	17	0	9	2.1	4.2	0	0		0	0	0	5.7
22	Darnell Washington	PIT	TE	4	IND	2	2	100	31	0	20	15.5	15.5	0	0		0	0	0	5.1
23	Brock Bowers	LV	TE	4	CLE	3	2	66.7	19	0	13	6.3	9.5	1	12	12	0	0	0	5.1
24	Brenton Strange	JAX	TE	4	HOU	3	3	100	19	0	11	6.3	6.3	0	0		0	0	0	4.9
25	Noah Fant	SEA	TE	4	DET	2	2	100	26	0	16	13	13	0	0		0	0	0	4.6
26	Will Dissly	LAC	TE	4	KC	3	2	66.7	24	0	22	8	12	0	0		0	0	0	4.4
27	Luke Musgrave	GB	TE	4	MIN	3	3	100	13	0	5	4.3	4.3	0	0		0	0	0	4.3
28	Harrison Bryant	LV	TE	4	CLE	2	2	100	21	0	14	10.5	10.5	0	0		0	0	0	4.1
29	Cade Stover	HOU	TE	4	JAX	1	1	100	27	0	27	27	27	0	0		0	0	0	3.7
30	Isaiah Likely	BAL	TE	4	BUF	2	1	50	26	0	26	13	26	0	0		0	0	0	3.6
31	Ja'Tavion Sanders	CAR	TE	4	CIN	2	2	100	16	0	11	8	8	0	0		0	0	0	3.6
32	Grant Calcaterra	PHI	TE	4	TB	2	1	50	26	0	26	13	26	0	0		0	0	0	3.6
33	Tanner Conner	MIA	TE	4	TEN	2	2	100	15	0	11	7.5	7.5	0	0		0	0	0	3.5
34	Johnny Mundt	MIN	TE	4	GB	2	2	100	15	0	9	7.5	7.5	0	0		0	0	0	3.5
35	Brock Wright	DET	TE	4	SEA	2	2	100	13	0	10	6.5	6.5	0	0		0	0	0	3.3
36	Juwan Johnson	NO	TE	4	ATL	3	2	66.7	13	0	8	4.3	6.5	0	0		0	0	0	3.3
37	Hunter Henry	NE	TE	4	SF	3	2	66.7	12	0	8	4	6	0	0		0	0	0	3.2
38	Elijah Higgins	ARI	TE	4	WAS	3	2	66.7	12	0	9	4	6	0	0		0	0	0	3.2
39	Jeremy Ruckert	NYJ	TE	4	DEN	2	2	100	10	0	9	5	5	0	0		0	0	0	3
40	Jordan Akins	CLE	TE	4	LV	2	1	50	10	0	10	5	10	0	0		0	0	0	2
41	John Bates	WAS	TE	4	ARI	1	1	100	9	0	9	9	9	0	0		0	0	0	1.9
42	Hayden Hurst	LAC	TE	4	KC	3	1	33.3	6	0	6	2	6	0	0		0	0	0	1.6
43	Theo Johnson	NYG	TE	4	DAL	1	1	100	6	0	6	6	6	0	0		0	0	0	1.6
44	Chigoziem Okonkwo	TEN	TE	4	MIA	3	1	33.3	5	0	5	1.7	5	0	0		0	0	0	1.5
45	Josh Whyle	TEN	TE	4	MIA	1	1	100	5	0	5	5	5	0	0		0	0	0	1.5
46	Jack Stoll	PHI	TE	4	TB	2	1	50	4	0	4	2	4	0	0		0	0	0	1.4
47	Pharaoh Brown	SEA	TE	4	DET	2	1	50	3	0	3	1.5	3	0	0		0	0	0	1.3
48	Drew Sample	CIN	TE	4	CAR	1	1	100	0	0	0	0	0	0	0		0	0	0	1
49	Nate Adkins	DEN	TE	4	NYJ	1	1	100	0	0	0	0	0	0	0		0	0	0	1
50	Dawson Knox	BUF	TE	4	BAL	1	1	100	0	0	0	0	0	0	0		0	0	0	1
51	Mike Gesicki	CIN	TE	4	CAR	1	1	100	-9	0	-9	-9	-9	0	0		0	0	0	0.1
52	Charlie Woerner	ATL	TE	4	NO	0	0		0	0	0			0	0		0	0	0	0
53	Luke Farrell	JAX	TE	4	HOU	1	0	0	0	0	0	0		0	0		0	0	0	0
54	Josiah Deguara	JAX	TE	4	HOU	0	0		0	0	0			0	0		0	0	0	0
55	Brady Russell	SEA	TE	4	DET	0	0		0	0	0			0	0		0	0	0	0
56	Parker Hesse	DET	TE	4	SEA	0	0		0	0	0			0	0		0	0	0	0
57	Kylen Granson	IND	TE	4	PIT	0	0		0	0	0			0	0		0	0	0	0
58	Connor Heyward	PIT	TE	4	IND	0	0		0	0	0			0	0		0	0	0	0
59	Mo Alie-Cox	IND	TE	4	PIT	0	0		0	0	0			0	0		0	0	0	0
60	Rodney Williams	PIT	TE	4	IND	0	0		0	0	0			0	0		0	0	0	0
61	Will Mallory	IND	TE	4	PIT	0	0		0	0	0			0	0		0	0	0	0
62	Ko Kieft	TB	TE	4	PHI	0	0		0	0	0			0	0		0	0	0	0
63	Payne Durham	TB	TE	4	PHI	0	0		0	0	0			0	0		0	0	0	0
64	Mitchell Wilcox	NE	TE	4	SF	0	0		0	0	0			0	0		0	0	0	0
65	Eric Saubert	SF	TE	4	NE	0	0		0	0	0			0	0		0	0	0	0
66	Jake Tonges	SF	TE	4	NE	0	0		0	0	0			0	0		0	0	0	0
67	Ben Sims	GB	TE	4	MIN	0	0		0	0	0			0	0		0	0	0	0
68	Robert Tonyan	MIN	TE	4	GB	0	0		0	0	0			0	0		0	0	0	0
69	Ben Sinnott	WAS	TE	4	ARI	0	0		0	0	0			0	0		0	0	0	0
70	Colson Yankoff	WAS	TE	4	ARI	0	0		0	0	0			0	0		0	0	0	0
71	Travis Vokolek	ARI	TE	4	WAS	0	0		0	0	0			0	0		0	0	0	0
72	Tip Reiman	ARI	TE	4	WAS	0	0		0	0	0			0	0		0	0	0	0
73	Stone Smartt	LAC	TE	4	KC	0	0		0	0	0			0	0		0	0	0	0
74	Jared Wiley	KC	TE	4	LAC	0	0		0	0	0			0	0		0	0	0	0
75	Eric Tomlinson	LAC	TE	4	KC	0	0		0	0	0			0	0		0	0	0	0
76	Geoff Swaim	CLE	TE	4	LV	0	0		0	0	0			0	0		0	0	0	0
77	John Samuel Shenker	LV	TE	4	CLE	0	0		0	0	0			0	0		0	0	0	0
78	Feleipe Franks	CAR	TE	4	CIN	1	0	0	0	0	0	0		0	0		0	0	0	0
79	Tommy Tremble	CAR	TE	4	CIN	0	0		0	0	0			0	0		0	0	0	0
80	Marcedes Lewis	CHI	TE	4	LAR	0	0		0	0	0			0	0		0	0	0	0
81	Hunter Long	LAR	TE	4	CHI	0	0		0	0	0			0	0		0	0	0	0
