RK,NAME,TEAM,POS,WK,OPP,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,FUMBLES,FUMBLES_LOST,FPTS
1,Saquon Barkley,PHI,RB,1,GB,24,109,4.5,2,2,2,23,1,0,0,33.2
2,Joe Mixon,HOU,RB,1,IND,30,159,5.3,1,3,3,19,0,0,0,26.8
3,De'Von Achane,MIA,RB,1,JAX,10,24,2.4,1,7,7,76,0,0,0,23
4,J.K. Dobbins,LAC,RB,1,LV,10,135,13.5,1,3,3,4,0,0,0,22.9
5,Jordan Mason,SF,RB,1,NYJ,28,147,5.2,1,1,1,5,0,0,0,22.2
6,Alvin Kamara,NO,RB,1,CAR,15,83,5.5,1,5,5,27,0,0,0,22
7,Rhamondre Stevenson,NE,RB,1,CIN,25,120,4.8,1,3,3,6,0,1,0,21.6
8,James Conner,ARI,RB,1,BUF,16,50,3.1,1,4,3,33,0,0,0,19.3
9,Aaron Jones,MIN,RB,1,NYG,14,94,6.7,1,2,2,15,0,0,0,18.9
10,Jerome Ford,CLE,RB,1,DAL,12,44,3.7,1,7,6,25,0,0,0,18.9
11,Kenneth Walker III,SEA,RB,1,DEN,20,103,5.2,1,3,2,6,0,0,0,18.9
12,Tony Pollard,TEN,RB,1,CHI,16,82,5.1,1,4,3,12,0,0,0,18.4
13,Breece Hall,NYJ,RB,1,SF,16,54,3.4,1,6,5,39,0,1,1,18.3
14,Brian Robinson Jr.,WAS,RB,1,TB,12,40,3.3,1,4,3,49,0,0,0,17.9
15,Jahmyr Gibbs,DET,RB,1,LAR,11,40,3.6,1,6,4,34,0,0,0,17.4
16,Rachaad White,TB,RB,1,WAS,15,31,2.1,0,6,6,75,0,0,0,16.6
17,David Montgomery,DET,RB,1,LAR,17,91,5.4,1,1,1,2,0,0,0,16.3
18,Alexander Mattison,LV,RB,1,LAC,5,19,3.8,0,6,4,43,1,0,0,16.2
19,Bijan Robinson,ATL,RB,1,PIT,18,68,3.8,0,5,5,43,0,0,0,16.1
20,Isiah Pacheco,KC,RB,1,BAL,15,45,3,1,3,2,33,0,0,0,15.8
21,Kyren Williams,LAR,RB,1,DET,18,50,2.8,1,3,3,4,0,0,0,14.4
22,Zack Moss,CIN,RB,1,NE,9,44,4.9,1,4,2,17,0,0,0,14.1
23,James Cook,BUF,RB,1,ARI,19,71,3.7,0,3,3,32,0,0,0,13.3
24,Ezekiel Elliott,DAL,RB,1,CLE,10,40,4,1,2,2,9,0,0,0,12.9
25,Josh Jacobs,GB,RB,1,PHI,16,84,5.2,0,3,2,20,0,1,0,12.4
26,Zach Charbonnet,SEA,RB,1,DEN,8,12,1.5,0,3,2,29,1,0,0,12.1
27,Jamaal Williams,NO,RB,1,CAR,11,38,3.5,1,1,1,13,0,0,0,12.1
28,Travis Etienne Jr.,JAX,RB,1,MIA,12,44,3.7,1,3,2,15,0,1,1,11.9
29,Justice Hill,BAL,RB,1,KC,1,3,3,0,8,6,52,0,0,0,11.5
30,Jonathan Taylor,IND,RB,1,HOU,16,48,3,1,0,0,0,0,0,0,10.8
31,Derrick Henry,BAL,RB,1,KC,13,46,3.5,1,2,0,0,0,0,0,10.6
32,Austin Ekeler,WAS,RB,1,TB,2,10,5,0,4,4,52,0,0,0,10.2
33,Bucky Irving,TB,RB,1,WAS,9,62,6.9,0,3,2,14,0,0,0,9.6
34,Devin Singletary,NYG,RB,1,MIN,10,37,3.7,0,5,4,15,0,0,0,9.2
35,Najee Harris,PIT,RB,1,ATL,20,70,3.5,0,2,1,9,0,0,0,8.9
36,Tank Bigsby,JAX,RB,1,MIA,12,73,6.1,0,0,0,0,0,0,0,7.3
37,Ty Chandler,MIN,RB,1,NYG,8,17,2.1,0,3,3,25,0,0,0,7.2
38,Tyjae Spears,TEN,RB,1,CHI,4,21,5.2,0,4,4,11,0,0,0,7.2
39,Emanuel Wilson,GB,RB,1,PHI,4,46,11.5,0,3,2,2,0,0,0,6.8
40,Kyle Juszczyk,SF,FB,1,NYJ,0,0,,0,3,2,40,0,0,0,6
41,Jaleel McLaughlin,DEN,RB,1,SEA,10,27,2.7,0,5,5,1,0,1,1,5.8
42,Chase Brown,CIN,RB,1,NE,3,11,3.7,0,3,3,12,0,0,0,5.3
43,Pierre Strong Jr.,CLE,RB,1,DAL,2,10,5,0,3,2,20,0,0,0,5
44,D'Andre Swift,CHI,RB,1,TEN,10,30,3,0,1,0,0,0,0,0,5
45,Emari Demercado,ARI,RB,1,BUF,0,0,,0,2,2,26,0,0,0,4.6
46,Zamir White,LV,RB,1,LAC,13,44,3.4,0,2,2,2,0,1,1,4.6
47,Rico Dowdle,DAL,RB,1,CLE,8,26,3.2,0,1,1,6,0,0,0,4.2
48,Jaylen Warren,PIT,RB,1,ATL,2,7,3.5,0,2,2,13,0,0,0,4
49,Raheem Mostert,MIA,RB,1,JAX,6,9,1.5,0,3,2,10,0,0,0,3.9
50,Gus Edwards,LAC,RB,1,LV,11,26,2.4,0,1,1,2,0,0,0,3.8
51,Hunter Luepke,DAL,RB,1,CLE,0,0,,0,2,2,18,0,0,0,3.8
52,Ray Davis,BUF,RB,1,ARI,3,13,4.3,0,1,1,14,0,0,0,3.7
53,Javonte Williams,DEN,RB,1,SEA,8,23,2.9,0,2,1,0,0,0,0,3.3
54,Trey Benson,ARI,RB,1,BUF,3,13,4.3,0,1,1,5,0,0,0,2.8
55,Braelon Allen,NYJ,RB,1,SF,1,8,8,0,1,1,9,0,0,0,2.7
56,Jeff Wilson Jr.,MIA,RB,1,JAX,5,26,5.2,0,0,0,0,0,0,0,2.6
57,Eric Gray,NYG,RB,1,MIN,2,6,3,0,1,1,9,0,0,0,2.5
58,Miles Sanders,CAR,RB,1,NO,5,22,4.4,0,2,0,0,0,0,0,2.2
59,Kenneth Gainwell,PHI,RB,1,GB,1,2,2,0,1,1,10,0,0,0,2.2
60,Tyler Allgeier,ATL,RB,1,PIT,3,21,7,0,0,0,0,0,0,0,2.1
61,Samaje Perine,KC,RB,1,BAL,0,0,,0,2,1,10,0,0,0,2
62,Antonio Gibson,NE,RB,1,CIN,7,18,2.6,0,0,0,0,0,0,0,1.8
63,Tyrone Tracy Jr.,NYG,RB,1,MIN,2,2,1,0,3,1,5,0,0,0,1.7
64,Ronnie Rivers,LAR,RB,1,DET,2,16,8,0,0,0,0,0,0,0,1.6
