Rank,Rank_Overall,Rank_Superflex,"Full Name","Team Abbrev",Position,"Fantasy Points Per Game","Best Ball Points Added",ADP,id
54,54,70,"Terry McLaurin",WAS,WR,12.3,82.2,56.8,84b4c137-2193-4e4b-b3de-a74f2eed2ad3
55,55,71,"Chris Godwin",TB,WR,12.3,75.4,74.2,19f1f476-acd6-4dbd-ac1c-7c4a920bf479
56,56,72,"Keenan Allen",CHI,WR,21.5,172.3,52.3,079b90e6-3ce0-4952-88a6-8e2a3003d6fe
57,57,73,"Jayden Reed",GB,WR,13.6,97.9,58.8,501824d3-4a54-4af2-b44a-d3ecd1963f1d
58,58,74,"Alvin Kamara",NO,RB,17.9,145.3,66.4,8efa33b9-1203-4a58-82f7-2b1104491e97
59,59,75,"Joe Mixon",HOU,RB,15.7,152.3,57,012a73f3-7fe2-427d-89d5-2ddc0fb366e6
60,60,76,"Jordan Addison",MIN,WR,13.0,103.8,68.6,010a891d-2b17-4cbc-b8fe-7b3aa74f9e6f
61,61,77,"Kenneth Walker",SEA,RB,13.3,106.5,62.7,03fcdf1b-3181-4dc9-9891-5f8db430037f
62,62,78,"Aaron Jones",MIN,RB,12.3,69.1,72.4,c7a3f5f1-7736-4c0d-9fed-b00b9e39c46b
63,63,79,"George Kittle",SF,TE,12.7,82.0,67,0d22526b-00d4-4f61-9c71-7540cd373543
64,64,80,"Rashee Rice",KC,WR,13.3,87.5,82.7,d763e0dc-b773-483d-be2a-a49c5ee0046d
65,65,12,"C.J. Stroud",HOU,QB,18.7,46.8,50.3,d1f113bc-e984-499b-a386-2c38ef7a25d0
66,66,81,"Rome Odunze",CHI,WR,-,-,65.8,144f1a02-d422-4d10-ba5e-349a5daae34b
67,67,14,"Anthony Richardson",IND,QB,18.4,14.3,56.1,e5c2cbd7-65b7-41a9-b81d-a6e1313571fd
68,68,82,"Calvin Ridley",TEN,WR,13.5,108.4,66.4,cc6cf04a-9ebb-4f4d-9d39-cc637b2da612
69,69,83,"Kyle Pitts",ATL,TE,8.1,19.0,60.8,4ffdccda-f8a4-4ec4-90a6-0ddf19626a93
70,70,84,"DeAndre Hopkins",TEN,WR,13.2,101.1,82.6,d0ab599c-2441-43c7-8e44-355ddcd40fb4
71,71,85,"Evan Engram",JAX,TE,13.5,76.3,75.9,5482dd3a-89c6-44de-9819-2b27e7af1097
72,72,86,"David Montgomery",DET,RB,14.8,115.2,74.2,1bbd25be-df0b-43c5-a027-2ff0bc886805
73,73,87,"Xavier Worthy",KC,WR,-,-,58.8,f1af93fd-af0e-4380-8ae4-519f04a8673c
74,74,88,"Najee Harris",PIT,RB,11.5,93.3,87.8,fa6d275b-9843-4a2a-a13f-17b2a6421118
75,75,89,"Ladd McConkey",LAC,WR,-,-,70.9,da9a62a7-26d6-4485-be96-cd693c639448
76,76,90,"Diontae Johnson",CAR,WR,11.7,61.3,81.3,b7b1f316-40a7-4784-a8d1-f972b0dd394f
77,77,93,"Marquise Brown",KC,WR,9.6,48.6,61.9,905c091a-69b0-4c46-9f4a-0887d6485aaf
