Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18
ARI,@BUF,LAR,DET,WAS,@SF,@GB,LAC,@MIA,CHI,NYJ,BYE,@SEA,@MIN,SEA,NE,@CAR,@LAR,SF
ATL,PIT,@PHI,KC,NO,TB,@CAR,SEA,@TB,DAL,@NO,@DEN,BYE,LAC,@MIN,@LV,NYG,@WAS,CAR
BAL,@KC,LV,@DAL,BUF,@CIN,WAS,@TB,@CLE,DEN,CIN,@PIT,@LAC,PHI,BYE,@NYG,PIT,@HOU,CLE
BUF,ARI,@MIA,JAC,@BAL,@HOU,@NYJ,TEN,@SEA,MIA,@IND,KC,BYE,SF,@LAR,@DET,NE,NYJ,@NE
CAR,@NO,LAC,@LV,CIN,@CHI,ATL,@WAS,@DEN,NO,NYG,BYE,KC,TB,@PHI,DAL,ARI,@TB,@ATL
CHI,TEN,@HOU,@IND,LAR,CAR,JAC,BYE,@WAS,@ARI,NE,GB,MIN,@DET,@SF,@MIN,DET,SEA,@GB
CIN,NE,@KC,WAS,@CAR,BAL,@NYG,@CLE,PHI,LV,@BAL,@LAC,BYE,PIT,@DAL,@TEN,CLE,DEN,@PIT
CLE,DAL,@JAC,NYG,@LV,@WAS,@PHI,CIN,BAL,LAC,BYE,@NO,PIT,@DEN,@PIT,KC,@CIN,MIA,@BAL
DAL,@CLE,NO,BAL,@NYG,@PIT,DET,BYE,@SF,@ATL,PHI,HOU,@WAS,NYG,CIN,@CAR,TB,@PHI,WAS
DEN,@SEA,PIT,@TB,@NYJ,LV,LAC,@NO,CAR,@BAL,@KC,ATL,@LV,CLE,BYE,IND,@LAC,@CIN,KC
DET,LAR,TB,@ARI,SEA,BYE,@DAL,@MIN,TEN,@GB,@HOU,JAC,@IND,CHI,GB,BUF,@CHI,@SF,MIN
GB,@PHI,IND,@TEN,MIN,@LAR,ARI,HOU,@JAC,DET,BYE,@CHI,SF,MIA,@DET,@SEA,NO,@MIN,CHI
HOU,@IND,CHI,@MIN,JAC,BUF,@NE,@GB,IND,@NYJ,DET,@DAL,TEN,@JAC,BYE,MIA,@KC,BAL,@TEN
IND,HOU,@GB,CHI,PIT,@JAC,@TEN,MIA,@HOU,@MIN,BUF,@NYJ,DET,@NE,BYE,@DEN,TEN,@NYG,JAC
JAC,@MIA,CLE,@BUF,@HOU,IND,@CHI,NE,GB,@PHI,MIN,@DET,BYE,HOU,@TEN,NYJ,@LV,TEN,@IND
KC,BAL,CIN,@ATL,@LAC,NO,BYE,@SF,@LV,TB,DEN,@BUF,@CAR,LV,LAC,@CLE,HOU,@PIT,@DEN
LAC,LV,@CAR,@PIT,KC,BYE,@DEN,@ARI,NO,@CLE,TEN,CIN,BAL,@ATL,@KC,TB,DEN,@NE,@LV
LAR,@DET,@ARI,SF,@CHI,GB,BYE,LV,MIN,@SEA,MIA,@NE,PHI,@NO,BUF,@SF,@NYJ,ARI,SEA
LV,@LAC,@BAL,CAR,CLE,@DEN,PIT,@LAR,KC,@CIN,BYE,@MIA,DEN,@KC,@TB,ATL,JAC,@NO,LAC
MIA,JAC,BUF,@SEA,TEN,@NE,BYE,@IND,ARI,@BUF,@LAR,LV,NE,@GB,NYJ,@HOU,SF,@CLE,@NYJ
MIN,@NYG,SF,HOU,@GB,NYJ,BYE,DET,@LAR,IND,@JAC,@TEN,@CHI,ARI,ATL,CHI,@SEA,GB,@DET
NE,@CIN,SEA,@NYJ,@SF,MIA,HOU,@JAC,NYJ,@TEN,@CHI,LAR,@MIA,IND,BYE,@ARI,@BUF,LAC,BUF
NO,CAR,@DAL,PHI,@ATL,@KC,TB,DEN,@LAC,@CAR,ATL,CLE,BYE,LAR,@NYG,WAS,@GB,LV,@TB
NYG,MIN,@WAS,@CLE,DAL,@SEA,CIN,PHI,@PIT,WAS,@CAR,BYE,TB,@DAL,NO,BAL,@ATL,IND,@PHI
NYJ,@SF,@TEN,NE,DEN,@MIN,BUF,@PIT,@NE,HOU,@ARI,IND,BYE,SEA,@MIA,@JAC,LAR,@BUF,MIA
PHI,GB,ATL,@NO,@TB,BYE,CLE,@NYG,@CIN,JAC,@DAL,WAS,@LAR,@BAL,CAR,PIT,@WAS,DAL,NYG
PIT,@ATL,@DEN,LAC,@IND,DAL,@LV,NYJ,NYG,BYE,@WAS,BAL,@CLE,@CIN,CLE,@PHI,@BAL,KC,CIN
SEA,DEN,@NE,MIA,@DET,NYG,SF,@ATL,BUF,LAR,BYE,@SF,ARI,@NYJ,@ARI,GB,MIN,@CHI,@LAR
SF,NYJ,@MIN,@LAR,NE,ARI,@SEA,KC,DAL,BYE,@TB,SEA,@GB,@BUF,CHI,LAR,@MIA,DET,@ARI
TB,WAS,@DET,DEN,PHI,@ATL,@NO,BAL,ATL,@KC,SF,BYE,@NYG,@CAR,LV,@LAC,@DAL,CAR,NO
TEN,@CHI,NYJ,GB,@MIA,BYE,IND,@BUF,@DET,NE,@LAC,MIN,@HOU,@WAS,JAC,CIN,@IND,@JAC,HOU
WAS,@TB,NYG,@CIN,@ARI,CLE,@BAL,CAR,CHI,@NYG,PIT,@PHI,DAL,TEN,BYE,@NO,PHI,ATL,@DAL
